contrast,difference,SE,z,p_uncorrected,p_bonferroni,significant_bonferroni
IFR vs ICR,0.0017023669549317,0.0060038838532906,0.28354428508783847,0.7767596392860749,1.0,False
IFR vs IRE,-0.001911152499798,0.0060038838532906,-0.31831936568035674,0.7502426960224748,1.0,False
ICR vs IRE,-0.0036135194547297,0.008490773972236404,-0.4255818688078829,0.6704125543083252,1.0,False
