UID,TEST,LocationType,theta_accuracy,TSVR_hours,theta_confidence
A040,T2,Source,-0.335709,26.26,-0.172449
A040,T3,Source,-1.4675875,71.28,-0.5883464
A040,T4,Source,-1.0677122,143.53,-0.6348135
A041,T1,Source,1.079175,1.0,0.57319
A041,T2,Source,-1.0853513,31.78,-0.13804448
A041,T3,Source,-0.1782166,75.74,-0.16103083
A041,T4,Source,0.9023358,141.84,0.17215323
A042,T1,Source,-0.5589121,1.0,-1.0337087
A042,T2,Source,-1.3708228,28.93,-1.7239662
A042,T3,Source,-0.8300745,72.17,-1.6143719
A042,T4,Source,-1.5882493,146.02,-1.1435481
A043,T1,Source,0.66669923,1.0,0.59257984
A043,T2,Source,0.21157885,25.62,0.5617119
A043,T3,Source,-0.3631573,64.94,0.09755397
A043,T4,Source,-0.15410642,149.33,-0.34350193
A044,T1,Source,-0.77502024,1.0,-1.3338357
A044,T2,Source,-0.4404797,47.66,-0.66508615
A044,T3,Source,-1.4569299,91.63,-1.8109468
A044,T4,Source,-1.2631737,155.27,-1.6222793
A045,T1,Source,-0.5580017,1.0,-0.38404018
A045,T2,Source,-0.8744425,24.66,-0.6423161
A045,T3,Source,-0.7973534,72.23,-0.35081738
A045,T4,Source,-0.57261163,151.52,-0.5377878
A046,T1,Source,-0.6971506,1.0,-0.62573093
A046,T2,Source,-1.4928403,24.32,-0.99523413
A046,T3,Source,-1.7452676,73.05,-1.7675588
A046,T4,Source,-0.63528097,147.94,-0.8553399
A047,T1,Source,-0.35001668,1.0,-1.007689
A047,T2,Source,-0.16671039,23.46,-0.56241226
A047,T3,Source,-1.3709793,76.85,-1.3289393
A047,T4,Source,-1.6715268,144.22,-1.6812772
A048,T1,Source,1.1008136,1.0,-0.008808553
A048,T2,Source,0.42243886,23.91,-0.018692851
A048,T3,Source,-0.026019838,81.15,-0.49071383
A048,T4,Source,-0.17341782,146.3,-0.41868603
A049,T1,Source,1.1971763,1.0,0.5404597
A049,T2,Source,-1.2098973,27.12,-0.4187739
A049,T3,Source,0.85623467,111.38,0.034439206
A049,T4,Source,-0.14212708,168.86,-0.38463807
A050,T1,Source,0.004513393,1.0,-0.0103881955
A050,T2,Source,-0.64157915,24.73,0.058078706
A050,T3,Source,-0.91331995,93.39,-1.3177676
A050,T4,Source,-0.3250553,148.69,-1.1985415
A051,T1,Source,1.209352,1.0,0.16485643
A051,T2,Source,-0.22324474,17.16,0.16090524
A051,T3,Source,-0.78436285,65.63,-0.5013564
A051,T4,Source,-0.21998222,146.99,-0.57058275
A052,T1,Source,0.78120226,1.0,-0.14410955
A052,T2,Source,-0.19870977,31.76,-0.61099494
A052,T3,Source,0.39233577,80.98,-0.54251736
A052,T4,Source,-0.8431323,153.27,-0.51613855
A053,T1,Source,1.0110499,1.0,0.014833719
A053,T2,Source,0.9028614,32.71,-1.8323704
A053,T3,Source,-0.8095616,78.28,-2.127089
A053,T4,Source,-0.7212973,148.9,-1.9886991
A054,T1,Source,-0.009010122,1.0,0.5543531
A054,T2,Source,1.0112917,16.9,0.24080098
A054,T3,Source,1.1221242,72.83,0.5224607
A054,T4,Source,1.0953832,136.83,0.43864214
A055,T1,Source,-0.104547046,1.0,-0.02007413
A055,T2,Source,0.97470355,23.24,-0.81075394
A055,T3,Source,-1.0984837,74.48,-1.3454837
A055,T4,Source,-1.8678097,149.21,-1.6561404
A056,T1,Source,0.7685593,1.0,-0.09425974
A056,T2,Source,-0.08752507,33.61,-1.0433567
A056,T3,Source,0.2292436,71.46,-1.2179855
A056,T4,Source,-1.4955524,147.84,-1.5301504
A057,T1,Source,0.12942022,1.0,0.0127590895
A057,T2,Source,-1.3945471,24.78,-0.72472906
A057,T3,Source,-0.56744486,73.83,-0.981297
A057,T4,Source,-1.7203946,145.06,-1.6090205
A058,T1,Source,1.3013333,1.0,0.061943173
A058,T2,Source,-0.7516616,22.96,-0.76731753
A058,T3,Source,0.24483971,66.28,-0.39766318
A058,T4,Source,-0.613019,143.48,-1.1715075
A059,T1,Source,0.78058815,1.0,-0.25681245
A059,T2,Source,0.78051406,30.4,-0.34766477
A059,T3,Source,1.2624742,79.78,-0.4188016
A059,T4,Source,0.8706269,151.93,-0.101484
A060,T1,Source,-0.73423666,1.0,-0.644866
A060,T2,Source,0.89305395,24.87,-0.09615028
A060,T3,Source,-0.4122879,94.68,-0.114304185
A060,T4,Source,0.5975928,143.91,0.22243512
A061,T1,Source,1.7025199,1.0,0.70674014
A061,T2,Source,0.41044217,35.16,0.34549332
A061,T3,Source,0.69539714,82.55,-0.16252935
A061,T4,Source,-0.7289813,146.56,0.027568102
A062,T1,Source,0.62293416,1.0,0.24922419
A062,T2,Source,-0.07864903,44.69,-0.39694244
A062,T3,Source,-0.71697104,92.72,-0.5588065
A062,T4,Source,-0.91934156,149.18,-1.200749
A063,T1,Source,1.103137,1.0,-0.98894
A063,T2,Source,1.1051809,21.98,-1.4651557
A063,T3,Source,0.2864874,69.99,-1.5791053
A063,T4,Source,-0.9610751,141.09,-1.7509248
A064,T1,Source,0.73301834,1.0,0.08150023
A064,T2,Source,1.187793,37.65,-0.2014035
A064,T3,Source,-0.08421605,82.99,-0.4634593
A064,T4,Source,-1.2915661,156.21,-0.86327004
A065,T1,Source,-1.3585184,1.0,-0.28583542
A065,T2,Source,-0.18607779,32.31,-1.6586721
