UID,TEST,LocationType,theta_accuracy,TSVR_hours,theta_confidence
A040,T4,Destination,-1.104057,143.53,-0.6703814
A041,T1,Destination,0.22410686,1.0,0.15652198
A041,T2,Destination,-0.6096121,31.78,-0.7230804
A041,T3,Destination,1.0298018,75.74,-0.0652492
A041,T4,Destination,-0.39342585,141.84,-0.47451437
A042,T1,Destination,-1.0510693,1.0,-1.1043742
A042,T2,Destination,-0.29213598,28.93,-1.6247622
A042,T3,Destination,0.27557984,72.17,-1.5245684
A042,T4,Destination,-0.4915242,146.02,-0.28710085
A043,T1,Destination,0.49942693,1.0,0.70260984
A043,T2,Destination,0.4424877,25.62,0.67980015
A043,T3,Destination,0.3511134,64.94,0.41440833
A043,T4,Destination,-0.25678244,149.33,0.2691201
A044,T1,Destination,1.1713588,1.0,-1.2625083
A044,T2,Destination,0.16294117,47.66,-0.9418907
A044,T3,Destination,-1.3014706,91.63,-1.6548837
A044,T4,Destination,-1.0086085,155.27,-1.4638461
A045,T1,Destination,0.16803594,1.0,0.107430644
A045,T2,Destination,-0.48629287,24.66,-0.14785308
A045,T3,Destination,-0.9015519,72.23,0.015569456
A045,T4,Destination,-0.6140947,151.52,-0.85659695
A046,T1,Destination,-0.82893044,1.0,-0.8858392
A046,T2,Destination,-1.229845,24.32,-1.0892278
A046,T3,Destination,-0.9712328,73.05,-1.7300338
A046,T4,Destination,-0.8551873,147.94,-1.0145254
A047,T1,Destination,-0.9314449,1.0,-0.9911052
A047,T2,Destination,0.0011731267,23.46,-0.91325116
A047,T3,Destination,-0.31743395,76.85,-1.3284942
A047,T4,Destination,0.5841509,144.22,-1.5817481
A048,T1,Destination,1.7055423,1.0,-0.04382407
A048,T2,Destination,-0.21394376,23.91,-0.3519171
A048,T3,Destination,0.59561753,81.15,0.005485378
A048,T4,Destination,0.05674492,146.3,-0.07758277
A049,T1,Destination,0.7261273,1.0,0.19780612
A049,T2,Destination,-0.3937213,27.12,-0.8922324
A049,T3,Destination,0.6229021,111.38,-0.18853784
A049,T4,Destination,1.4647734,168.86,-0.34735084
A050,T1,Destination,-0.91308653,1.0,-0.108382456
A050,T2,Destination,-0.0066963215,24.73,-0.07980966
A050,T3,Destination,-0.35299146,93.39,-0.90844625
A050,T4,Destination,0.8914575,148.69,-1.2433821
A051,T1,Destination,1.8028108,1.0,0.47366124
A051,T2,Destination,0.049381785,17.16,0.22646618
A051,T3,Destination,0.1110302,65.63,-0.20670265
A051,T4,Destination,0.03827322,146.99,-0.3287778
A052,T1,Destination,-0.4868811,1.0,-0.6850114
A052,T2,Destination,0.9826763,31.76,-0.23417139
A052,T3,Destination,-0.23479229,80.98,-0.9427875
A052,T4,Destination,0.060775243,153.27,0.034749992
A053,T1,Destination,0.830601,1.0,-0.4502908
A053,T2,Destination,0.35691914,32.71,-1.6746286
A053,T3,Destination,-0.111180075,78.28,-2.037302
A053,T4,Destination,-0.24006987,148.9,-1.89259
A054,T1,Destination,0.4994956,1.0,0.4693622
A054,T2,Destination,-0.12840416,16.9,-0.2542895
A054,T3,Destination,-0.02643241,72.83,-0.4796437
A054,T4,Destination,0.17176248,136.83,-0.043233745
A055,T1,Destination,-0.5361741,1.0,-0.03458076
A055,T2,Destination,0.75660616,23.24,-1.02525
A055,T3,Destination,0.83208466,74.48,-1.4525794
A055,T4,Destination,0.1528813,149.21,-1.5069975
A056,T1,Destination,0.7468591,1.0,-0.31293535
A056,T2,Destination,-0.7365116,33.61,-1.1222712
A056,T3,Destination,-0.72254777,71.46,-0.6666082
A056,T4,Destination,-0.8596302,147.84,-1.5222534
A057,T1,Destination,-1.0518757,1.0,-0.6698607
A057,T2,Destination,-0.60083723,24.78,-0.3021773
A057,T3,Destination,-0.51274824,73.83,-1.046279
A057,T4,Destination,-0.13473281,145.06,-1.5262234
A058,T1,Destination,1.7332748,1.0,-0.093785755
A058,T2,Destination,-0.17271782,22.96,-0.109634034
A058,T3,Destination,0.67109835,66.28,-0.027735107
A058,T4,Destination,-0.9756075,143.48,-0.9226202
A059,T1,Destination,1.5626048,1.0,-0.74984205
A059,T2,Destination,0.07206453,30.4,-0.80831677
A059,T3,Destination,2.0409064,79.78,-0.5651938
A059,T4,Destination,-0.5772869,151.93,-0.47267723
A060,T1,Destination,-0.1530542,1.0,-0.07753169
A060,T2,Destination,0.33590585,24.87,-0.06836402
A060,T3,Destination,0.16965349,94.68,0.2595057
A060,T4,Destination,-0.7229297,143.91,0.48543715
A061,T1,Destination,2.0403898,1.0,0.92875934
A061,T2,Destination,0.77201295,35.16,0.80587673
A061,T3,Destination,1.5962133,82.55,0.39314365
A061,T4,Destination,0.7794881,146.56,0.46075106
A062,T1,Destination,0.75087893,1.0,-0.0907191
A062,T2,Destination,1.0081036,44.69,-0.20216143
A062,T3,Destination,-0.41625023,92.72,-0.89908874
A062,T4,Destination,-0.7022192,149.18,-1.335995
A063,T1,Destination,0.42942187,1.0,-1.1453488
A063,T2,Destination,0.9230828,21.98,-1.3659563
A063,T3,Destination,-1.0528466,69.99,-1.5536242
A063,T4,Destination,-0.95782745,141.09,-1.687606
A064,T1,Destination,0.37014112,1.0,0.13230014
A064,T2,Destination,0.15088972,37.65,-0.27324927
A064,T3,Destination,0.4945773,82.99,-0.83695614
A064,T4,Destination,-1.064075,156.21,0.1552983
A065,T1,Destination,-0.9370374,1.0,-0.12966514
A065,T2,Destination,-0.42273253,32.31,-1.5419153
A065,T3,Destination,0.12489203,106.41,-1.5336815
A065,T4,Destination,-1.0915083,187.43,-1.5619777
A066,T1,Destination,0.03757501,1.0,-0.95108926
A066,T2,Destination,-0.42152458,23.35,-0.40383792
A066,T3,Destination,-0.91012734,73.79,-1.0677891
A066,T4,Destination,-1.2444345,164.93,-1.321545
A067,T1,Destination,-0.3772701,1.0,-0.78326046
A067,T2,Destination,-0.75470644,29.91,-1.6094011
A067,T3,Destination,-0.75410956,73.19,-1.5481073
A067,T4,Destination,-1.4940736,144.19,-0.91407484
A068,T1,Destination,1.4733075,1.0,0.65786695
A068,T2,Destination,-0.34633532,30.49,0.36208034
A068,T3,Destination,-0.3125315,82.98,-0.43609893
A068,T4,Destination,-0.21757181,155.59,-0.44159007
A069,T1,Destination,-0.18573126,1.0,-0.55585605
A069,T2,Destination,-0.75497293,24.96,-1.5368589
A069,T3,Destination,-0.45664144,79.75,-1.5020038
A069,T4,Destination,-0.621072,140.22,-1.389695
A070,T1,Destination,-0.025029317,1.0,-0.12926179
A070,T2,Destination,-0.7115501,24.25,-0.13407838
A070,T3,Destination,-0.60091597,81.92,-1.0468057
A070,T4,Destination,-0.9432329,149.2,-1.5684022
A071,T1,Destination,-0.09704123,1.0,0.054713376
A071,T2,Destination,-0.43790084,30.92,-0.8447603
A071,T3,Destination,-0.8310883,79.96,-1.0355132
A071,T4,Destination,-0.20154567,153.27,-0.8932065
A072,T1,Destination,0.6814234,1.0,0.39353013
A072,T2,Destination,1.7074885,33.76,0.3008167
A072,T3,Destination,0.09480323,83.54,-0.101512246
A072,T4,Destination,0.58196443,154.89,-0.018325202
A073,T1,Destination,0.30522674,1.0,-0.6538286
A073,T2,Destination,-0.94399035,66.66,-0.9625182
A073,T3,Destination,-0.27342725,66.9,-0.93056107
A073,T4,Destination,1.1537054,140.12,-1.0389396
A074,T1,Destination,0.39766553,1.0,-0.18035519
A074,T2,Destination,-0.40341347,29.33,0.15289661
A074,T3,Destination,1.1376537,73.02,-0.061039798
A074,T4,Destination,0.26247647,147.21,-0.15603536
A075,T1,Destination,0.07384318,1.0,-0.57182944
A075,T2,Destination,0.8610925,28.68,-0.30554652
A075,T3,Destination,-1.4018217,71.37,-1.3515688
A075,T4,Destination,-0.09748435,244.53,-0.6846801
A076,T1,Destination,-0.5232532,1.0,-0.7070801
A076,T2,Destination,-1.1163836,27.3,-1.6155242
A076,T3,Destination,-0.5196874,74.88,-1.2425772
A076,T4,Destination,-1.266146,149.28,-1.4294585
A077,T1,Destination,-0.5821275,1.0,-0.17447257
A077,T2,Destination,-0.5422168,53.88,-0.8597841
A077,T3,Destination,-0.26786017,78.36,-0.35669112
A077,T4,Destination,0.8029541,149.75,-0.24809766
A078,T1,Destination,-0.27483156,1.0,-1.068305
A078,T2,Destination,0.06392656,26.17,-1.0563185
A078,T3,Destination,0.34884748,72.3,-1.1757432
A078,T4,Destination,-1.3704203,140.08,-1.4174169
A079,T1,Destination,1.3273735,1.0,0.1498003
A079,T2,Destination,-0.2008887,26.11,-0.6707224
A079,T3,Destination,-0.19927017,74.0,-0.43815857
A079,T4,Destination,-0.95253634,194.42,-0.60441935
A080,T1,Destination,-0.1154154,1.0,0.16752625
A080,T2,Destination,0.10268697,29.03,0.18738705
A080,T3,Destination,1.1151272,72.87,-0.34106952
A080,T4,Destination,-0.40745336,145.77,-0.5923623
A081,T1,Destination,0.6662004,1.0,0.2984473
A081,T2,Destination,-0.9717388,31.39,-0.52936184
A081,T3,Destination,1.2064252,80.13,-0.46458697
A081,T4,Destination,1.4606197,154.53,-0.86279833
A082,T1,Destination,-0.6594405,1.0,-0.43024468
A082,T2,Destination,1.5764099,27.97,-0.49606806
A082,T3,Destination,-0.7732746,75.71,-0.8901417
A082,T4,Destination,0.112550795,170.25,-1.1045943
A083,T1,Destination,1.6751546,1.0,0.47181237
A083,T2,Destination,-0.3237374,25.15,-0.74519026
A083,T3,Destination,-0.8224563,74.3,-0.7083179
A083,T4,Destination,0.76563764,144.91,0.012737401
A084,T1,Destination,0.089948215,1.0,-1.3033124
A084,T2,Destination,-0.3887303,27.25,-1.4172285
A084,T3,Destination,0.41099674,91.97,-1.0280648
A084,T4,Destination,1.1264467,162.51,-1.2650133
A085,T1,Destination,-0.025167516,1.0,0.47878015
A085,T2,Destination,0.58357966,24.51,0.3064638
A085,T3,Destination,-0.9434278,71.4,0.0715741
A085,T4,Destination,0.36916238,170.65,-0.8205845
A086,T1,Destination,1.2463102,1.0,0.22379875
A086,T2,Destination,0.35159728,23.47,-0.079005115
A086,T3,Destination,-0.7232066,145.29,-0.58177567
A086,T4,Destination,-1.2129464,169.55,-1.0517981
A087,T1,Destination,1.1479511,1.0,0.5291444
A087,T2,Destination,0.62924254,31.07,0.38094336
A087,T3,Destination,0.6483832,72.8,-0.103241794
A087,T4,Destination,-0.5654962,144.2,-0.39149654
A088,T1,Destination,1.5717645,1.0,0.3560192
A088,T2,Destination,2.250928,24.25,0.27706409
A088,T3,Destination,-0.11962351,74.91,-0.28160274
A088,T4,Destination,1.3004314,149.93,0.4318676
A089,T1,Destination,1.5398204,1.0,0.19657242
A089,T2,Destination,0.37108445,32.14,-0.19414687
A089,T3,Destination,-0.0014881843,79.34,-0.7148968
A089,T4,Destination,0.8214839,146.96,-0.2248025
A090,T1,Destination,-0.3088941,1.0,-1.6779197
A090,T2,Destination,-0.2992866,23.54,-1.2846583
A090,T3,Destination,-0.48725727,95.42,-1.6414834
A090,T4,Destination,0.14262137,144.07,-1.7933134
A091,T1,Destination,1.1371102,1.0,-0.058466665
A091,T2,Destination,0.2593088,22.2,-0.27879846
A091,T3,Destination,-0.6923325,73.64,-1.2304739
A091,T4,Destination,0.056037232,142.61,0.024066277
A092,T1,Destination,-0.4201831,1.0,-0.014764063
A092,T2,Destination,-0.90574074,22.83,-0.7557341
A092,T3,Destination,-1.0292109,71.31,-0.26899004
A092,T4,Destination,-0.44239357,146.16,-1.3647457
A093,T1,Destination,0.97299176,1.0,0.29553103
A093,T2,Destination,-0.6046585,22.09,-1.211867
A093,T3,Destination,-0.8998102,70.22,-1.6578104
A093,T4,Destination,-0.7954494,140.95,-1.7849536
A094,T1,Destination,-1.036037,1.0,-1.2510717
A094,T2,Destination,-0.29982325,22.98,-1.1742227
A094,T3,Destination,-1.0888739,76.21,-1.5641828
A094,T4,Destination,-1.2646453,149.99,-1.1065723
A095,T1,Destination,1.3578781,1.0,0.2294867
A095,T2,Destination,-0.8642308,29.71,-1.0466974
A095,T3,Destination,-0.6406247,78.76,-0.75168335
A095,T4,Destination,-0.86643106,148.79,-1.1310589
A096,T1,Destination,-0.46724647,1.0,0.22043192
A096,T2,Destination,-0.4302919,24.49,-0.29889137
A096,T3,Destination,-0.7520156,71.19,-0.29939425
A096,T4,Destination,0.013857826,143.66,-0.45191222
A097,T1,Destination,-0.12557247,1.0,-1.1117997
A097,T2,Destination,0.08058321,24.37,-1.75146
A097,T3,Destination,-0.33748123,70.83,-1.6033994
A097,T4,Destination,-0.29173175,144.85,-1.4632665
A098,T1,Destination,0.36816895,1.0,-0.38894045
A098,T2,Destination,1.0905981,25.77,-0.7021278
A098,T3,Destination,0.41594142,78.84,-0.1247822
A098,T4,Destination,-0.75626916,146.29,-0.53740335
A099,T1,Destination,1.5832982,1.0,0.40282655
A099,T2,Destination,-0.39603183,28.75,0.0788101
A099,T3,Destination,-0.024725638,78.57,-0.43006015
A099,T4,Destination,1.3247222,143.51,0.80170184
A100,T1,Destination,-0.6996861,1.0,-0.58934057
A100,T2,Destination,1.1456058,31.14,-0.59428596
A100,T3,Destination,0.24805592,75.34,-1.1754352
A100,T4,Destination,-1.136643,146.8,-1.3743583
A101,T1,Destination,0.8865688,1.0,-0.7256049
A101,T2,Destination,-0.23393802,29.12,-0.9041368
A101,T3,Destination,-0.978317,75.21,-1.5923685
A101,T4,Destination,0.17299545,150.22,-1.676416
A102,T1,Destination,0.20968845,1.0,-0.37550962
A102,T2,Destination,0.24436091,29.13,-0.21016592
A102,T3,Destination,0.012451167,75.27,-0.4991781
A102,T4,Destination,-1.0560108,150.41,-0.42684937
A103,T1,Destination,1.2595557,1.0,-1.4538294
A103,T2,Destination,-0.42329043,27.26,-1.350898
A103,T3,Destination,0.97105753,80.24,-1.4905565
A103,T4,Destination,-0.8396413,149.72,-1.4300045
A104,T1,Destination,0.06332143,1.0,0.24507946
A104,T2,Destination,0.2064909,22.6,0.028411277
A104,T3,Destination,1.1526464,72.62,0.13863671
A104,T4,Destination,-1.420157,145.78,-1.284099
A105,T1,Destination,1.0632366,1.0,0.5449039
A105,T2,Destination,0.89520895,22.77,0.18196529
A105,T3,Destination,0.023725206,69.46,-0.31218833
A105,T4,Destination,0.6975893,146.2,-0.22133994
A106,T1,Destination,1.2047487,1.0,0.3040899
A106,T2,Destination,0.13819233,22.64,-0.6731347
A106,T3,Destination,0.28499973,66.08,-0.20144719
A106,T4,Destination,0.24336678,147.13,0.08071876
A107,T1,Destination,-0.26651132,1.0,-1.5541539
A107,T2,Destination,-1.135201,26.22,-2.0352635
A107,T3,Destination,-1.1414355,71.45,-1.4178009
A107,T4,Destination,-1.0968966,145.95,-1.5716547
A108,T1,Destination,-0.17483757,1.0,-0.34627223
A108,T2,Destination,-0.8555178,27.61,-1.000741
A108,T3,Destination,0.98977315,68.96,-0.7485418
A108,T4,Destination,-0.94147485,152.12,-0.9805145
A109,T1,Destination,-0.8293198,1.0,-1.2468426
A109,T2,Destination,-1.0111979,24.65,-1.7238507
A109,T3,Destination,-1.1678147,71.17,-1.0366689
A109,T4,Destination,-0.6777049,149.87,-1.4776334
