Effect,Estimate,SE,t,p_uncorrected,p_bonferroni,CI_lower,CI_upper
Intercept,0.07781439316023424,0.09995941275889725,0.7784598869935647,0.4362979455388165,1.0,-0.11810605584720436,0.27373484216767285
LocationType_Source,-0.13776726766520622,0.11920200353662194,-1.1557462423262084,0.24778496748256962,0.9911398699302785,-0.37140319459698523,0.09586865926657279
log_TSVR,-0.02315069165086187,0.022505700546185,-1.028659010340658,0.30363993778566944,1.0,-0.06726186472138447,0.02096048141966073
LocationType_Source:log_TSVR,0.0409873726924961,0.03181309301571121,1.288380625934551,0.19761349948771767,0.7904539979508707,-0.021366289618297868,0.10334103500329007
