UID,TEST,LocationType,TSVR_hours,theta_accuracy,theta_confidence,theta_accuracy_z,theta_confidence_z,latent_calibration
A010,T1,Destination,1.0,2.010915,0.13693643,2.4234206747488622,1.0071826290108732,-0.09234679736189122
A010,T2,Destination,21.9,1.0975147,-0.1731106,1.310380390000311,0.5404637082400326,-0.05239625510979601
A010,T3,Destination,80.88,-1.186541,-0.446819,-1.4728965661267595,0.12844592805386698,0.49721730049511836
A010,T4,Destination,145.31,-0.4293288,-0.80998075,-0.5501820862836092,-0.4182274589650307,-0.09194185137228439
A011,T1,Destination,1.0,1.1835473,0.5820918,1.415216954649631,1.6772823679496536,0.594743640242023
A011,T2,Destination,24.57,0.07751111,0.20171207,0.06743675810294326,1.1046904709438874,0.6386872678321305
A011,T3,Destination,72.55,-0.5014456,-0.08963197,-0.6380613037604969,0.666125470267001,0.5789966058268003
A011,T4,Destination,148.85,-0.84890825,-0.9402442,-1.0614681352400643,-0.6143151841075238,-0.0626882451702302
A012,T1,Destination,1.0,0.33868304,0.11614872,0.38569248818703544,0.9758905454308524,0.47106852589437787
A012,T2,Destination,25.6,-1.1255839,-0.8692789,-1.3986162008351717,-0.5074899446327934,0.09723882130088307
A012,T3,Destination,166.33,0.09193352,-0.61992574,0.0850114439588165,-0.13213450992342463,-0.10298135731556801
A012,T4,Destination,166.87,-0.9537699,-0.3019384,-1.189249175792824,0.34653709078047606,0.5460911353364946
A013,T1,Destination,1.0,-0.035398606,-0.050787084,-0.07015139732849036,0.7245993194484828,0.4516067269573723
A013,T2,Destination,24.77,-0.3057711,-0.3442688,-0.39961863935801034,0.2828164397431222,0.2825907838937165
A013,T3,Destination,79.66,0.9779469,-0.10295295,1.1646789071359436,0.646073178815572,0.05212226823843774
A013,T4,Destination,147.13,-0.066024296,-1.3484422,-0.10747088005498047,-1.2287823829089946,-0.7011607058944532
A014,T1,Destination,1.0,0.7553257,0.284858,0.8933998591226419,1.2298514141597854,0.4773061679996677
A014,T2,Destination,25.66,-0.4665811,-0.02648484,-0.5955765432369718,0.7611818891702106,0.6234766102336181
A014,T3,Destination,70.56,0.12054519,-0.5064211,0.11987670656485198,0.03872590142540458,-0.01117634177930675
A014,T4,Destination,148.87,-0.5400671,-0.8566756,-0.6851242238815173,-0.48851798875193514,-0.09526203077963685
A015,T1,Destination,1.0,1.0023323,0.5536311,1.194394172786401,1.6344400056526092,0.6323022760658951
A015,T2,Destination,23.69,1.4194467,0.047094353,1.7026763909428009,0.8719418649975854,0.032976294977250076
A015,T3,Destination,70.59,0.24626894,-0.40970647,0.27307963248862904,0.1843120331046893,0.03177365770233587
A015,T4,Destination,146.54,-0.43521827,-0.6451764,-0.557358805369226,-0.17014474593165674,0.05786528768126514
A016,T1,Destination,1.0,1.7207321,-0.053390674,2.069813107896563,0.7206800923720945,-0.16198291592990888
A016,T2,Destination,32.85,1.479976,0.14018714,1.7764354528870883,1.0120759765231488,0.0953712835922561
A016,T3,Destination,80.64,-0.6975632,-0.67556345,-0.8770439155991425,-0.2158868747351791,0.12193567896615679
A016,T4,Destination,150.8,-0.8562173,-0.4178216,-1.0703747089441034,0.17209619373504564,0.4082396730289713
A017,T1,Destination,1.0,-0.15520337,0.50636506,-0.21614163691653632,1.5632896541142909,0.9928281246055417
A017,T2,Destination,20.61,0.41041905,0.6012197,0.47310768719356633,1.7060759120923359,0.8809952620371602
A017,T3,Destination,61.28,0.22881152,0.8671315,0.2518065808728423,2.1063573413846326,1.182613503377484
A017,T4,Destination,140.49,-0.7611534,0.228042,-0.9545328920262548,1.1443253499284458,0.954207117516346
A018,T1,Destination,1.0,1.5116286,0.3249135,1.815006295175001,1.2901476206125173,0.2499724790586043
A018,T2,Destination,34.03,0.4516168,-0.11045133,0.5233099428650387,0.6347857434186593,0.2285989145118422
A018,T3,Destination,83.64,-0.5255531,-0.8337312,-0.6674379293917514,-0.45397940405485077,-0.07974285003938078
A018,T4,Destination,150.87,-0.6034264,-1.1547185,-0.7623318329806921,-0.9371668941499696,-0.3404223133685102
A019,T1,Destination,1.0,-1.1137557,-1.7082322,-1.3842027360092208,-1.7703802189022655,-0.6590512361563818
A019,T2,Destination,28.69,0.2184492,-1.6998299,0.23917939035904942,-1.757732097783373,-1.1152178226412905
A019,T3,Destination,83.68,-0.34441203,-1.5546432,-0.4467052362533133,-1.5391801576655149,-0.7891342809491233
A019,T4,Destination,154.76,-0.9084577,-1.6211447,-1.134033183428268,-1.6392859651929796,-0.6524299100486215
A020,T1,Destination,1.0,-0.39048332,0.084936984,-0.5028462313245139,0.9289070031556549,0.6968857917253086
A020,T2,Destination,26.85,0.15357906,-0.38507468,0.16013072013496646,0.2213906738691371,0.08612007735948846
A020,T3,Destination,78.25,-0.33567235,-0.8200439,-0.4360553427555652,-0.4333756850504575,-0.13356302631951986
A020,T4,Destination,145.78,-1.1523182,-1.4524196,-1.4311937606241856,-1.3853012823564688,-0.41627714431117524
A021,T1,Destination,1.0,0.64160866,-0.29108983,0.7548279245805113,0.3628676225785291,0.0005150812478665612
A021,T2,Destination,30.21,0.47721207,-0.21397233,0.5544995172597659,0.47895387043758875,0.12687706657724093
A021,T3,Destination,74.19,-0.59433186,-0.72609866,-0.7512495184782148,-0.29195836192900193,0.040696096902709256
A021,T4,Destination,140.39,-0.99789435,-0.52507687,-1.243017814135042,0.010643062378215334,0.36139219972136233
A022,T1,Destination,1.0,-0.42679092,-0.9335841,-0.5470895071834517,-0.6042896254552579,-0.20364318425943528
A022,T2,Destination,24.15,-0.60329264,-1.239637,-0.762168837338488,-1.0649961162956507,-0.4166035080057667
A022,T3,Destination,74.46,-0.09910751,-0.8647789,-0.1477850226395157,-0.5007160202269741,-0.25601167646445094
A022,T4,Destination,141.71,-0.08970222,-1.5464507,-0.1363240381623454,-1.5268478519555875,-0.8704458941669324
A023,T1,Destination,1.0,0.1930206,0.20654905,0.20819291467609086,1.1119716569155451,0.602818597558645
A023,T2,Destination,25.63,0.101476,-0.33590782,0.0966396037660854,0.29540236118280366,0.14833665997698214
A023,T3,Destination,72.2,-0.27825373,-0.5276897,-0.36608685560412796,0.006709926177047144,0.10856475719805497
A023,T4,Destination,145.07,0.92574984,-0.09092378,1.1010732453845329,0.6641808873144052,0.08107535545120392
A024,T1,Destination,1.0,-0.26954484,-0.490049,-0.3554744818119978,0.06337109426196312,0.13928065226724518
A024,T2,Destination,29.57,-0.57454836,-0.613402,-0.7271419804433323,-0.12231421623382031,0.13484952473087608
A024,T3,Destination,91.47,0.0074428213,-0.31282544,-0.01794620926250617,0.3301486494553359,0.20176149983654196
A024,T4,Destination,145.65,-0.940981,-0.15840495,-1.1736650327860605,0.562600366337463,0.6703262405263423
A025,T1,Destination,1.0,0.05380287,-0.07447063,0.038546657891144566,0.6889480860560953,0.3993246728250606
A025,T2,Destination,23.33,1.5041252,-0.09470015,1.8058628927997418,0.6584962551125377,-0.12362515735824148
A025,T3,Destination,72.94,-0.27671874,-0.74952257,-0.3642163660644528,-0.3272187609576051,-0.09085628202770438
A025,T4,Destination,137.74,-0.14176248,-1.3529526,-0.19976299982513843,-1.235571962606774,-0.6788424113495068
A026,T1,Destination,1.0,1.0732766,0.08161802,1.2808446194014138,0.9239109117686248,0.18442009692250966
