LocationType,TEST,TSVR_hours,mean_calibration,CI_lower,CI_upper,n
Destination,T1,1.0,0.0777083545981226,-0.12107027862720558,0.27648698782345077,100
Destination,T2,28.769699999999997,-0.02252189133575316,-0.20830793204532905,0.16326414937382272,100
Destination,T3,78.6681,-0.06677824474451041,-0.2475323259827473,0.11397583649372647,100
Destination,T4,151.3752,0.011591781482140667,-0.19117837970051973,0.21436194266480105,100
Source,T1,1.0,-0.0016800831389576398,-0.15802215757896465,0.15466199130104935,100
Source,T2,28.769699999999997,-0.0907265900252417,-0.280672905739887,0.0992197256894036,100
Source,T3,78.6681,-0.02329747401643999,-0.18519295363003438,0.13859800559715438,100
Source,T4,151.3752,0.11570414718063887,-0.0408864498708878,0.27229474423216554,100
