Effect,Estimate,SE,t,p_uncorrected,p_bonferroni,CI_lower,CI_upper
Intercept,0.07786457795900928,0.10976218799953354,0.7093934566914809,0.47808034713992587,1.0,-0.13726931052007646,0.292998466438095
LocationType_Source,-0.13776726766520694,0.11136287818756307,-1.2371022544260417,0.2160491229308944,0.8641964917235776,-0.35603850891283056,0.08050397358241668
log_TSVR,-0.02313525349937221,0.02587300573939994,-0.8941849946773434,0.37122291935345153,1.0,-0.0738463447485961,0.027575837749851673
LocationType_Source:log_TSVR,0.04098737269249626,0.029720956839369067,1.3790731204926565,0.16787221040716915,0.6714888416286766,-0.017265702712667107,0.09924044809765964
