UID,TEST,LocationType,theta_accuracy,TSVR_hours,theta_confidence,Z_accuracy,Z_confidence,calibration
A057,T4,Source,-1.7203946,145.06,-1.6090205,-1.9727201441066868,-1.5995731952694014,0.3731469488372854
A058,T1,Source,1.3013333,1.0,0.061943173,1.5383125815976095,0.8612327590070364,-0.6770798225905731
A058,T2,Source,-0.7516616,22.96,-0.76731753,-0.8471213549272574,-0.36000843765293716,0.4871129172743202
A058,T3,Source,0.24483971,66.28,-0.39766318,0.31074223385490984,0.18437660207149403,-0.1263656317834158
A058,T4,Source,-0.613019,143.48,-1.1715075,-0.686028522651813,-0.9552536251494906,-0.2692251024976776
A059,T1,Source,0.78058815,1.0,-0.25681245,0.93324378523054,0.39180559687776406,-0.5414381883527759
A059,T2,Source,0.78051406,30.4,-0.34766477,0.9331576979244501,0.25800859480743343,-0.6751491031170167
A059,T3,Source,1.2624742,79.78,-0.4188016,1.4931610734848453,0.15324633237113286,-1.3399147411137124
A059,T4,Source,0.8706269,151.93,-0.101484,1.0378624035487238,0.62055573717392,-0.41730666637480385
A060,T1,Source,-0.73423666,1.0,-0.644866,-0.8268748149977575,-0.17967569972257774,0.6471991152751797
A060,T2,Source,0.89305395,24.87,-0.09615028,1.0639210392356124,0.6284106356056007,-0.4355104036300117
A060,T3,Source,-0.4122879,94.68,-0.114304185,-0.4527932729899817,0.6016756214103708,1.0544688944003524
A060,T4,Source,0.5975928,143.91,0.22243512,0.7206162145939807,1.0975871125890957,0.37697089799511496
A061,T1,Source,1.7025199,1.0,0.70674014,2.004462853339165,1.810816667581324,-0.19364618575784087
A061,T2,Source,0.41044217,35.16,0.34549332,0.5031605043805706,1.2788132853513452,0.7756527809707746
A061,T3,Source,0.69539714,82.55,-0.16252935,0.8342578957181844,0.530655062977223,-0.30360283274096145
A061,T4,Source,-0.7289813,146.56,0.027568102,-0.8207684607673329,0.8106090496096897,1.6313775103770225
A062,T1,Source,0.62293416,1.0,0.24922419,0.7500610710530464,1.137039019312581,0.3869779482595346
A062,T2,Source,-0.07864903,44.69,-0.39694244,-0.06512865529326538,0.18543802627367367,0.25056668156693906
A062,T3,Source,-0.71697104,92.72,-0.5588065,-0.8068133935674644,-0.05293701985538635,0.753876373712078
A062,T4,Source,-0.91934156,149.18,-1.200749,-1.0419535325713092,-0.9983171928827042,0.04363633968860503
A063,T1,Source,1.103137,1.0,-0.98894,1.3080225891024195,-0.6863888985748134,-1.994411487677233
A063,T2,Source,1.1051809,21.98,-1.4651557,1.3103974554125417,-1.387705419702991,-2.6981028751155325
A063,T3,Source,0.2864874,69.99,-1.5791053,0.35913388504891297,-1.555517478515725,-1.914651363564638
A063,T4,Source,-0.9610751,141.09,-1.7509248,-1.090444935354296,-1.8085537685876045,-0.7181088332333085
A064,T1,Source,0.73301834,1.0,0.08150023,0.8779710521477446,0.8900341764713189,0.012063124323574259
A064,T2,Source,1.187793,37.65,-0.2014035,1.4063868350781155,0.4734056198366147,-0.9329812152415007
A064,T3,Source,-0.08421605,82.99,-0.4634593,-0.07159713625895735,0.08747953214681048,0.15907666840576784
A064,T4,Source,-1.2915661,156.21,-0.86327004,-1.474451952184216,-0.5013164216331307,0.9731355305510854
A065,T1,Source,-1.3585184,1.0,-0.28583542,-1.5522457589532408,0.34906385536607626,1.901309614319317
A065,T2,Source,-0.18607779,32.31,-1.6586721,-0.1899532273673534,-1.6726944455357156,-1.4827412181683621
A065,T3,Source,-1.534947,106.41,-1.6791027,-1.7572432335273722,-1.7027823181458823,0.054460915381489894
A065,T4,Source,-1.4947524,187.43,-1.5810145,-1.7105399694788146,-1.558329131936933,0.15221083754188158
A066,T1,Source,-0.03744735,1.0,-0.65797085,-0.017255235971162887,-0.19897503784164136,-0.18171980187047848
A066,T2,Source,-0.48925865,23.35,-0.46232635,-0.5422278055208571,0.08914801252789029,0.6313758180487474
A066,T3,Source,-0.78109145,73.79,-0.7121843,-0.881316745737452,-0.2788144638671932,0.6025022818702588
A066,T4,Source,-1.5672717,164.93,-1.2585001,-1.7948022339749552,-1.0833664689635336,0.7114357650114216
A067,T1,Source,0.33184186,1.0,-0.26883042,0.41183253912582257,0.37410689246414897,-0.037725646661673606
A067,T2,Source,-1.4980056,29.91,-1.6097723,-1.7143199563079599,-1.6006803611200533,0.11363959518790656
A067,T3,Source,-1.2921559,73.19,-1.6110896,-1.4751372578007873,-1.6026203312917255,-0.12748307349093824
A067,T4,Source,-1.626856,144.19,-1.3744572,-1.864034949216517,-1.2541349462987248,0.6099000029177921
A068,T1,Source,1.1554995,1.0,0.46348393,1.368864086809639,1.4525764857897003,0.08371239898006144
A068,T2,Source,-0.113646984,30.49,0.3130849,-0.10579378659999013,1.2310858366980126,1.3368796232980027
A068,T3,Source,1.1442444,82.98,0.21906394,1.3557864617756066,1.0926224206864623,-0.26316404108914426
A068,T4,Source,-0.48383042,155.59,-0.26454616,-0.5359205886557482,0.3804162651261772,0.9163368537819254
A069,T1,Source,-1.0576996,1.0,-1.0210688,-1.2027157263824408,-0.7337045545769634,0.46901117180547747
A069,T2,Source,-0.9050108,24.96,-1.6984748,-1.0253022095503932,-1.7313113518987535,-0.7060091423483603
A069,T3,Source,-0.53834414,79.75,-1.6173936,-0.5992616508737861,-1.6119041481612493,-1.0126424972874633
A069,T4,Source,-1.7287896,140.22,-1.4792693,-1.9824745365297398,-1.408490330516714,0.5739842060130258
A070,T1,Source,-0.16930422,1.0,0.087869346,-0.1704635330117194,0.8994138888070983,1.0698774218188176
A070,T2,Source,0.23320425,24.25,-0.45063603,0.29722265757584676,0.10636419114878654,-0.19085846642706022
A070,T3,Source,-0.75356513,81.92,-0.8471191,-0.849333121289265,-0.47753114732623597,0.371801973963029
A070,T4,Source,-1.1904025,149.2,-1.7073361,-1.356907050060481,-1.7443612704307825,-0.3874542203703015
A071,T1,Source,0.5082413,1.0,0.43833178,0.6167961318556351,1.4155352493565168,0.7987391175008817
A071,T2,Source,0.83159643,30.92,-0.42639652,0.992511775694502,0.1420613948047174,-0.8504503808897845
A071,T3,Source,-0.4841799,79.96,-0.97401035,-0.536326659538894,-0.6644022017908533,-0.12807554225195927
A071,T4,Source,0.43548703,153.27,-0.51238585,0.5322608489452425,0.015426053362293603,-0.5168347955829489
A072,T1,Source,1.1708913,1.0,0.40019226,1.386748262783093,1.3593676860361585,-0.027380576746934393
A072,T2,Source,1.1662811,33.76,0.20886338,1.381391538548577,1.077600191783133,-0.30379134676544406
A072,T3,Source,-0.9678977,83.54,-0.44359374,-1.0983723109046857,0.11673527787183191,1.2151075887765175
A072,T4,Source,-0.172895,154.89,-0.7566408,-0.17463576377108211,-0.3442849595302611,-0.169649195759179
