Effect,partial_R2,Cohens_f2
LocationType_Source,0.001675265881023679,0.0016780771063456667
log_TSVR,0.0013275560555786417,0.0013293208034610832
LocationType_Source:log_TSVR,0.0020809928968643066,0.0020853324588988756
