TSVR_hours,theta_confidence,CI_lower,CI_upper,Segment,fitted
23.820392156862745,-0.593952257137255,-0.7212083290607483,-0.4666961852137616,Early,-0.5808175237975388
30.367857142857144,-0.6131713637380953,-0.7387768832809611,-0.4875658441952294,Early,-0.6051335531667998
45.703333333333326,-0.6027724233333334,-0.9581217137352608,-0.2474231329314057,Early,-0.6620865708976139
59.32,-0.2342505449999999,-0.5834609424898656,0.1149598524898656,Late,-0.5310696698619208
72.59671875,-0.768423991875,-0.8492739047650337,-0.6875740789849663,Late,-0.5764785280664593
80.87478260869565,-0.7180400530434783,-0.8955533340100833,-0.5405267720768733,Late,-0.6047910527983419
93.7088888888889,-0.7748952122222222,-1.055722731468373,-0.4940676929760714,Late,-0.6486860936765161
108.895,-0.266858995,-0.3132089476,-0.2205090424,Late,-0.7006254304288901
140.22923076923078,-0.7537361734461538,-0.9996419955668148,-0.5078303513254928,Late,-0.8077943528667694
147.85399999999998,-0.8243698770666666,-0.9094107270206196,-0.7393290271127138,Late,-0.8338724879362741
164.1966666666667,-0.8846501433333334,-1.1714388170913046,-0.5978614695753621,Late,-0.8897674607322223
169.8275,-0.775702055,-0.9523990745720377,-0.5990050354279624,Late,-0.9090259625670014
190.925,-0.6859914199999999,-0.7724066831999999,-0.5995761567999999,Late,-0.981183353561689
245.385,-0.69581213,-1.0380231712,-0.3536010888,Late,-1.1674467266424182
