composite_ID,UID,test,theta_confidence,se_confidence,TSVR_hours,Segment,Time_Early,Time_Late
A046_T2,A046,2,-1.000125,0.033312414,24.32,Early,24.32,0.0
A046_T3,A046,3,-1.4650033,0.033312414,73.05,Late,0.0,25.049999999999997
A046_T4,A046,4,-1.5674849,0.033312414,147.94,Late,0.0,99.94
A047_T1,A047,1,-0.57797015,0.033312414,1.0,Early,1.0,0.0
A047_T2,A047,2,-0.80200624,0.033312414,23.46,Early,23.46,0.0
A047_T3,A047,3,-1.3837919,0.033312414,76.85,Late,0.0,28.849999999999994
A047_T4,A047,4,-1.6884255,0.033312414,144.22,Late,0.0,96.22
A048_T1,A048,1,-0.29754767,0.033312414,1.0,Early,1.0,0.0
A048_T2,A048,2,-0.4682938,0.033312414,23.91,Early,23.91,0.0
A048_T3,A048,3,-0.55355513,0.033312414,81.15,Late,0.0,33.150000000000006
A048_T4,A048,4,-0.6172761,0.033312414,146.3,Late,0.0,98.30000000000001
A049_T1,A049,1,0.015095141,0.033312414,1.0,Early,1.0,0.0
A049_T2,A049,2,-0.5101858,0.033312414,27.12,Early,27.12,0.0
A049_T3,A049,3,-0.24321106,0.033312414,111.38,Late,0.0,63.379999999999995
A049_T4,A049,4,-0.5534761,0.033312414,168.86,Late,0.0,120.86000000000001
A050_T1,A050,1,-0.332139,0.033312414,1.0,Early,1.0,0.0
A050_T2,A050,2,-0.4592812,0.033312414,24.73,Early,24.73,0.0
A050_T3,A050,3,-0.8918068,0.033312414,93.39,Late,0.0,45.39
A050_T4,A050,4,-0.8248155,0.033312414,148.69,Late,0.0,100.69
A051_T1,A051,1,-0.13511,0.033312414,1.0,Early,1.0,0.0
A051_T2,A051,2,-0.09387231,0.033312414,17.16,Early,17.16,0.0
A051_T3,A051,3,-0.7147496,0.033312414,65.63,Late,0.0,17.629999999999995
A051_T4,A051,4,-0.6880791,0.033312414,146.99,Late,0.0,98.99000000000001
A052_T1,A052,1,-0.40401456,0.033312414,1.0,Early,1.0,0.0
A052_T2,A052,2,-0.69656724,0.033312414,31.76,Early,31.76,0.0
A052_T3,A052,3,-1.0056021,0.033312414,80.98,Late,0.0,32.980000000000004
A052_T4,A052,4,-0.76403254,0.033312414,153.27,Late,0.0,105.27000000000001
A053_T1,A053,1,-0.17432423,0.033312414,1.0,Early,1.0,0.0
A053_T2,A053,2,-1.1278566,0.033312414,32.71,Early,32.71,0.0
A053_T3,A053,3,-1.4379783,0.033312414,78.28,Late,0.0,30.28
A053_T4,A053,4,-1.3163345,0.033312414,148.9,Late,0.0,100.9
A054_T1,A054,1,0.04235199,0.033312414,1.0,Early,1.0,0.0
A054_T2,A054,2,-0.22945482,0.033312414,16.9,Early,16.9,0.0
A054_T3,A054,3,-0.26918104,0.033312414,72.83,Late,0.0,24.83
A054_T4,A054,4,-0.102685206,0.033312414,136.83,Late,0.0,88.83000000000001
A055_T1,A055,1,-0.21229054,0.033312414,1.0,Early,1.0,0.0
A055_T2,A055,2,-0.93653405,0.033312414,23.24,Early,23.24,0.0
A055_T3,A055,3,-0.8401974,0.033312414,74.48,Late,0.0,26.480000000000004
A055_T4,A055,4,-1.260757,0.033312414,149.21,Late,0.0,101.21000000000001
A056_T1,A056,1,-0.77102643,0.033312414,1.0,Early,1.0,0.0
A056_T2,A056,2,-0.93695015,0.033312414,33.61,Early,33.61,0.0
A056_T3,A056,3,-0.7083756,0.033312414,71.46,Late,0.0,23.459999999999994
A056_T4,A056,4,-0.79573447,0.033312414,147.84,Late,0.0,99.84
A057_T1,A057,1,-0.47107366,0.033312414,1.0,Early,1.0,0.0
A057_T2,A057,2,-0.55252665,0.033312414,24.78,Early,24.78,0.0
A057_T3,A057,3,-0.6045535,0.033312414,73.83,Late,0.0,25.83
A057_T4,A057,4,-0.5674088,0.033312414,145.06,Late,0.0,97.06
A058_T1,A058,1,-0.16339521,0.033312414,1.0,Early,1.0,0.0
A058_T2,A058,2,-0.3716868,0.033312414,22.96,Early,22.96,0.0
A058_T3,A058,3,-1.0395465,0.033312414,66.28,Late,0.0,18.28
A058_T4,A058,4,-0.97823644,0.033312414,143.48,Late,0.0,95.47999999999999
A059_T1,A059,1,-0.5023268,0.033312414,1.0,Early,1.0,0.0
A059_T2,A059,2,-0.47173324,0.033312414,30.4,Early,30.4,0.0
A059_T3,A059,3,-0.9825946,0.033312414,79.78,Late,0.0,31.78
A059_T4,A059,4,-0.5769608,0.033312414,151.93,Late,0.0,103.93
A060_T1,A060,1,-0.50129473,0.033312414,1.0,Early,1.0,0.0
A060_T2,A060,2,-0.3035681,0.033312414,24.87,Early,24.87,0.0
A060_T3,A060,3,-0.39956075,0.033312414,94.68,Late,0.0,46.68000000000001
A060_T4,A060,4,-0.35726425,0.033312414,143.91,Late,0.0,95.91
A061_T1,A061,1,0.49123833,0.033312414,1.0,Early,1.0,0.0
A061_T2,A061,2,0.10699007,0.033312414,35.16,Early,35.16,0.0
A061_T3,A061,3,-0.22055449,0.033312414,82.55,Late,0.0,34.55
A061_T4,A061,4,-0.2480352,0.033312414,146.56,Late,0.0,98.56
A062_T1,A062,1,-0.19396584,0.033312414,1.0,Early,1.0,0.0
A062_T2,A062,2,-0.42571765,0.033312414,44.69,Early,44.69,0.0
A062_T3,A062,3,-1.2115375,0.033312414,92.72,Late,0.0,44.72
A062_T4,A062,4,-0.6887581,0.033312414,149.18,Late,0.0,101.18
A063_T1,A063,1,-1.2219437,0.033312414,1.0,Early,1.0,0.0
A063_T2,A063,2,-1.9641893,0.033312414,21.98,Early,21.98,0.0
A063_T3,A063,3,-1.1443956,0.033312414,69.99,Late,0.0,21.989999999999995
A063_T4,A063,4,-1.078894,0.033312414,141.09,Late,0.0,93.09
A064_T1,A064,1,-0.14825012,0.033312414,1.0,Early,1.0,0.0
A064_T2,A064,2,-0.4947842,0.033312414,37.65,Early,37.65,0.0
A064_T3,A064,3,-0.52582866,0.033312414,82.99,Late,0.0,34.989999999999995
A064_T4,A064,4,-0.7778792,0.033312414,156.21,Late,0.0,108.21000000000001
A065_T1,A065,1,-0.79110265,0.033312414,1.0,Early,1.0,0.0
A065_T2,A065,2,-1.2535007,0.033312414,32.31,Early,32.31,0.0
A065_T3,A065,3,-0.29050693,0.033312414,106.41,Late,0.0,58.41
A065_T4,A065,4,-0.641902,0.033312414,187.43,Late,0.0,139.43
A066_T1,A066,1,-0.6773158,0.033312414,1.0,Early,1.0,0.0
A066_T2,A066,2,-0.52447873,0.033312414,23.35,Early,23.35,0.0
A066_T3,A066,3,-0.7255086,0.033312414,73.79,Late,0.0,25.790000000000006
A066_T4,A066,4,-1.3507166,0.033312414,164.93,Late,0.0,116.93
A067_T1,A067,1,-0.489106,0.033312414,1.0,Early,1.0,0.0
A067_T2,A067,2,-1.0970984,0.033312414,29.91,Early,29.91,0.0
A067_T3,A067,3,-0.9555565,0.033312414,73.19,Late,0.0,25.189999999999998
A067_T4,A067,4,-0.61965704,0.033312414,144.19,Late,0.0,96.19
A068_T1,A068,1,0.16652554,0.033312414,1.0,Early,1.0,0.0
A068_T2,A068,2,-0.106564544,0.033312414,30.49,Early,30.49,0.0
A068_T3,A068,3,-0.30650812,0.033312414,82.98,Late,0.0,34.980000000000004
A068_T4,A068,4,-0.4836062,0.033312414,155.59,Late,0.0,107.59
A069_T1,A069,1,-0.73993486,0.033312414,1.0,Early,1.0,0.0
A069_T2,A069,2,-0.8647377,0.033312414,24.96,Early,24.96,0.0
A069_T3,A069,3,-0.7490341,0.033312414,79.75,Late,0.0,31.75
A069_T4,A069,4,-1.0363842,0.033312414,140.22,Late,0.0,92.22
A070_T1,A070,1,-0.49851632,0.033312414,1.0,Early,1.0,0.0
A070_T2,A070,2,-0.4727255,0.033312414,24.25,Early,24.25,0.0
A070_T3,A070,3,-0.9917136,0.033312414,81.92,Late,0.0,33.92
A070_T4,A070,4,-0.9997019,0.033312414,149.2,Late,0.0,101.19999999999999
A071_T1,A071,1,-0.06756443,0.033312414,1.0,Early,1.0,0.0
A071_T2,A071,2,-1.0183284,0.033312414,30.92,Early,30.92,0.0
A071_T3,A071,3,-1.3937839,0.033312414,79.96,Late,0.0,31.959999999999994
A071_T4,A071,4,-0.66643244,0.033312414,153.27,Late,0.0,105.27000000000001
A072_T1,A072,1,-0.08344198,0.033312414,1.0,Early,1.0,0.0
A072_T2,A072,2,-0.053039327,0.033312414,33.76,Early,33.76,0.0
A072_T3,A072,3,-0.7992932,0.033312414,83.54,Late,0.0,35.540000000000006
A072_T4,A072,4,-0.64755213,0.033312414,154.89,Late,0.0,106.88999999999999
A073_T1,A073,1,-0.7472555,0.033312414,1.0,Early,1.0,0.0
A073_T2,A073,2,-0.90187174,0.033312414,66.66,Late,0.0,18.659999999999997
A073_T3,A073,3,-0.8532445,0.033312414,66.9,Late,0.0,18.900000000000006
A073_T4,A073,4,-0.94447434,0.033312414,140.12,Late,0.0,92.12
A074_T1,A074,1,-0.10384461,0.033312414,1.0,Early,1.0,0.0
A074_T2,A074,2,-0.47984323,0.033312414,29.33,Early,29.33,0.0
A074_T3,A074,3,-0.8331525,0.033312414,73.02,Late,0.0,25.019999999999996
A074_T4,A074,4,-0.8946965,0.033312414,147.21,Late,0.0,99.21000000000001
A075_T1,A075,1,-0.5195184,0.033312414,1.0,Early,1.0,0.0
A075_T2,A075,2,-0.4355136,0.033312414,28.68,Early,28.68,0.0
A075_T3,A075,3,-0.6645374,0.033312414,71.37,Late,0.0,23.370000000000005
A075_T4,A075,4,-0.8704096,0.033312414,244.53,Late,0.0,196.53
A076_T1,A076,1,-0.88919824,0.033312414,1.0,Early,1.0,0.0
A076_T2,A076,2,-0.92914766,0.033312414,27.3,Early,27.3,0.0
A076_T3,A076,3,-0.9904418,0.033312414,74.88,Late,0.0,26.879999999999995
A076_T4,A076,4,-1.0130427,0.033312414,149.28,Late,0.0,101.28
A077_T1,A077,1,-0.20553797,0.033312414,1.0,Early,1.0,0.0
A077_T2,A077,2,-0.53009486,0.033312414,53.88,Late,0.0,5.880000000000003
A077_T3,A077,3,-0.9393,0.033312414,78.36,Late,0.0,30.36
A077_T4,A077,4,-0.3668686,0.033312414,149.75,Late,0.0,101.75
A078_T1,A078,1,-0.94877625,0.033312414,1.0,Early,1.0,0.0
A078_T2,A078,2,-0.9174186,0.033312414,26.17,Early,26.17,0.0
A078_T3,A078,3,-1.0069405,0.033312414,72.3,Late,0.0,24.299999999999997
A078_T4,A078,4,-1.1135154,0.033312414,140.08,Late,0.0,92.08000000000001
A079_T1,A079,1,-0.5209985,0.033312414,1.0,Early,1.0,0.0
A079_T2,A079,2,-0.22519995,0.033312414,26.11,Early,26.11,0.0
A079_T3,A079,3,-0.5245844,0.033312414,74.0,Late,0.0,26.0
A079_T4,A079,4,-0.73008084,0.033312414,194.42,Late,0.0,146.42
A080_T1,A080,1,-0.09753483,0.033312414,1.0,Early,1.0,0.0
A080_T2,A080,2,-0.39678386,0.033312414,29.03,Early,29.03,0.0
A080_T3,A080,3,-0.71688837,0.033312414,72.87,Late,0.0,24.870000000000005
A080_T4,A080,4,-1.2722905,0.033312414,145.77,Late,0.0,97.77000000000001
A081_T1,A081,1,-0.25508967,0.033312414,1.0,Early,1.0,0.0
A081_T2,A081,2,-0.49507838,0.033312414,31.39,Early,31.39,0.0
A081_T3,A081,3,-0.52635825,0.033312414,80.13,Late,0.0,32.129999999999995
A081_T4,A081,4,-0.53006846,0.033312414,154.53,Late,0.0,106.53
A082_T1,A082,1,-0.22234312,0.033312414,1.0,Early,1.0,0.0
A082_T2,A082,2,-0.44037765,0.033312414,27.97,Early,27.97,0.0
A082_T3,A082,3,-0.56536925,0.033312414,75.71,Late,0.0,27.709999999999994
A082_T4,A082,4,-0.9947171,0.033312414,170.25,Late,0.0,122.25
A083_T1,A083,1,0.004754789,0.033312414,1.0,Early,1.0,0.0
A083_T2,A083,2,-0.48276672,0.033312414,25.15,Early,25.15,0.0
A083_T3,A083,3,-0.4372354,0.033312414,74.3,Late,0.0,26.299999999999997
A083_T4,A083,4,-0.5513548,0.033312414,144.91,Late,0.0,96.91
A084_T1,A084,1,-1.4660891,0.033312414,1.0,Early,1.0,0.0
A084_T2,A084,2,-1.3201833,0.033312414,27.25,Early,27.25,0.0
A084_T3,A084,3,-1.1787816,0.033312414,91.97,Late,0.0,43.97
A084_T4,A084,4,-1.2781861,0.033312414,162.51,Late,0.0,114.50999999999999
A085_T1,A085,1,-0.4503213,0.033312414,1.0,Early,1.0,0.0
A085_T2,A085,2,0.00259445,0.033312414,24.51,Early,24.51,0.0
A085_T3,A085,3,-0.16244699,0.033312414,71.4,Late,0.0,23.400000000000006
A085_T4,A085,4,-0.76807487,0.033312414,170.65,Late,0.0,122.65
A086_T1,A086,1,-0.079089,0.033312414,1.0,Early,1.0,0.0
A086_T2,A086,2,-0.18591997,0.033312414,23.47,Early,23.47,0.0
A086_T3,A086,3,-0.7226914,0.033312414,145.29,Late,0.0,97.28999999999999
A086_T4,A086,4,-0.78654015,0.033312414,169.55,Late,0.0,121.55000000000001
A087_T1,A087,1,-0.09658217,0.033312414,1.0,Early,1.0,0.0
A087_T2,A087,2,-0.30566287,0.033312414,31.07,Early,31.07,0.0
A087_T3,A087,3,-0.5371069,0.033312414,72.8,Late,0.0,24.799999999999997
A087_T4,A087,4,-0.23646314,0.033312414,144.2,Late,0.0,96.19999999999999
A088_T1,A088,1,-0.2547915,0.033312414,1.0,Early,1.0,0.0
A088_T2,A088,2,-0.17022878,0.033312414,24.25,Early,24.25,0.0
A088_T3,A088,3,-0.6985878,0.033312414,74.91,Late,0.0,26.909999999999997
A088_T4,A088,4,-0.27308685,0.033312414,149.93,Late,0.0,101.93
A089_T1,A089,1,-0.09992828,0.033312414,1.0,Early,1.0,0.0
A089_T2,A089,2,-0.39490718,0.033312414,32.14,Early,32.14,0.0
A089_T3,A089,3,-0.6878582,0.033312414,79.34,Late,0.0,31.340000000000003
A089_T4,A089,4,-0.700304,0.033312414,146.96,Late,0.0,98.96000000000001
A090_T1,A090,1,-1.6835222,0.033312414,1.0,Early,1.0,0.0
A090_T2,A090,2,-1.0855069,0.033312414,23.54,Early,23.54,0.0
A090_T3,A090,3,-1.088068,0.033312414,95.42,Late,0.0,47.42
A090_T4,A090,4,-0.7511724,0.033312414,144.07,Late,0.0,96.07
A091_T1,A091,1,-0.2862672,0.033312414,1.0,Early,1.0,0.0
A091_T2,A091,2,-0.6812923,0.033312414,22.2,Early,22.2,0.0
A091_T3,A091,3,-0.81964105,0.033312414,73.64,Late,0.0,25.64
A091_T4,A091,4,-0.4983091,0.033312414,142.61,Late,0.0,94.61000000000001
A092_T1,A092,1,-0.36225155,0.033312414,1.0,Early,1.0,0.0
A092_T2,A092,2,-0.58775675,0.033312414,22.83,Early,22.83,0.0
A092_T3,A092,3,-0.9059947,0.033312414,71.31,Late,0.0,23.310000000000002
A092_T4,A092,4,-1.0669404,0.033312414,146.16,Late,0.0,98.16
A093_T1,A093,1,-0.06434872,0.033312414,1.0,Early,1.0,0.0
A093_T2,A093,2,-0.8411957,0.033312414,22.09,Early,22.09,0.0
A093_T3,A093,3,-1.2671429,0.033312414,70.22,Late,0.0,22.22
A093_T4,A093,4,-1.3883843,0.033312414,140.95,Late,0.0,92.94999999999999
A094_T1,A094,1,-0.7272985,0.033312414,1.0,Early,1.0,0.0
A094_T2,A094,2,-0.8506081,0.033312414,22.98,Early,22.98,0.0
A094_T3,A094,3,-1.0895172,0.033312414,76.21,Late,0.0,28.209999999999994
A094_T4,A094,4,-1.1266032,0.033312414,149.99,Late,0.0,101.99000000000001
A095_T1,A095,1,-0.080623694,0.033312414,1.0,Early,1.0,0.0
A095_T2,A095,2,-0.7292298,0.033312414,29.71,Early,29.71,0.0
A095_T3,A095,3,-0.53817576,0.033312414,78.76,Late,0.0,30.760000000000005
A095_T4,A095,4,-1.0688891,0.033312414,148.79,Late,0.0,100.78999999999999
A096_T1,A096,1,-0.2553402,0.033312414,1.0,Early,1.0,0.0
A096_T2,A096,2,-1.2609805,0.033312414,24.49,Early,24.49,0.0
A096_T3,A096,3,-0.9994125,0.033312414,71.19,Late,0.0,23.189999999999998
