TSVR_hours,probability,CI_lower,CI_upper,Segment,fitted
23.820392156862745,0.2668024374584553,0.226619883797834,0.3112424981485148,Early,0.271198293167472
30.367857142857144,0.2604525671614855,0.2214220931948014,0.3036795226423913,Early,0.26309625859784724
45.703333333333326,0.2638761209083158,0.1637313200767994,0.3962501692656678,Early,0.24473894540258348
59.32,0.4016260580645017,0.2703099632674071,0.548759957957793,Late,0.2882536906524541
72.59671875,0.2128455602646253,0.1907006139371733,0.2368096029418557,Late,0.27266039486000887
80.87478260869565,0.2275663676859144,0.1788392141590627,0.2849626691468483,Late,0.2632092917919832
93.7088888888889,0.2110060825688683,0.1422361542793059,0.3013445909127795,Late,0.2489792481512338
108.895,0.3883640666679875,0.3697984342814562,0.4072594356079174,Late,0.2328184548061098
140.22923076923078,0.217063957105836,0.1542837220119874,0.2964360510198388,Late,0.2018348103052309
147.85399999999998,0.1973282079127572,0.175401776548958,0.2212601282243855,Late,0.1947790340205681
164.1966666666667,0.1815807104056006,0.1198565951318492,0.2655029122301632,Late,0.18028996090326135
169.8275,0.2107775517828514,0.1650693160903501,0.2651235258008024,Late,0.1754965143267094
190.925,0.237296780024725,0.2117120784369061,0.2649341818643287,Late,0.1584276363160669
245.385,0.2342849048498978,0.145951272093586,0.3539253468111145,Late,0.12057521102544827
