composite_ID,theta_common,theta_congruent,theta_incongruent,se_common,se_congruent,se_incongruent
A010_1,1.9914105,2.698236,2.0310545,0.18400842413844493,0.18106223414529843,0.18505578640153708
A010_2,0.6410052,0.97157335,0.23996726,0.18400842413844493,0.18106223414529843,0.18505578640153708
A010_3,-0.6704464,-0.017888185,-0.58664095,0.18400842413844493,0.18106223414529843,0.18505578640153708
A010_4,0.089053765,0.3041497,1.1652423,0.18400842413844493,0.18106223414529843,0.18505578640153708
A011_1,0.5674413,0.4626206,0.9083579,0.18400842413844493,0.18106223414529843,0.18505578640153708
A011_2,1.3185489,-0.54023457,-0.024266118,0.18400842413844493,0.18106223414529843,0.18505578640153708
A011_3,-0.4626871,0.18654297,-0.31132838,0.18400842413844493,0.18106223414529843,0.18505578640153708
A011_4,-0.75494415,-0.3516094,-0.46972924,0.18400842413844493,0.18106223414529843,0.18505578640153708
A012_1,0.9097603,0.92163867,0.87147075,0.18400842413844493,0.18106223414529843,0.18505578640153708
A012_2,0.043122713,-0.32923773,0.3245644,0.18400842413844493,0.18106223414529843,0.18505578640153708
A012_3,0.6722356,-0.28423768,1.1336719,0.18400842413844493,0.18106223414529843,0.18505578640153708
A012_4,-0.12550767,-1.5363747,-1.175225,0.18400842413844493,0.18106223414529843,0.18505578640153708
A013_1,-1.121025,0.87284786,0.054620974,0.18400842413844493,0.18106223414529843,0.18505578640153708
A013_2,-0.22162648,-1.1846135,-0.3780282,0.18400842413844493,0.18106223414529843,0.18505578640153708
A013_3,0.5978507,1.4511951,1.1586356,0.18400842413844493,0.18106223414529843,0.18505578640153708
A013_4,-1.1855949,-0.9008191,-1.3456542,0.18400842413844493,0.18106223414529843,0.18505578640153708
A014_1,0.050564904,0.95122206,0.4383418,0.18400842413844493,0.18106223414529843,0.18505578640153708
A014_2,1.1251923,0.39818305,1.8441843,0.18400842413844493,0.18106223414529843,0.18505578640153708
A014_3,0.5977773,0.0026697963,-0.39637128,0.18400842413844493,0.18106223414529843,0.18505578640153708
A014_4,-0.59767693,-0.34365207,-0.9465494,0.18400842413844493,0.18106223414529843,0.18505578640153708
A015_1,1.4088374,1.1311563,1.1915354,0.18400842413844493,0.18106223414529843,0.18505578640153708
A015_2,1.545564,1.434148,1.4378263,0.18400842413844493,0.18106223414529843,0.18505578640153708
A015_3,1.9115362,1.1445538,0.8986619,0.18400842413844493,0.18106223414529843,0.18505578640153708
A015_4,-0.23804665,-0.19878802,0.36884838,0.18400842413844493,0.18106223414529843,0.18505578640153708
A016_1,0.8081462,1.269783,1.7545254,0.18400842413844493,0.18106223414529843,0.18505578640153708
A016_2,0.9263905,1.6871945,1.4819907,0.18400842413844493,0.18106223414529843,0.18505578640153708
A016_3,0.09786377,-1.2087847,0.053116918,0.18400842413844493,0.18106223414529843,0.18505578640153708
A016_4,-0.80692416,-1.1711761,-0.2572061,0.18400842413844493,0.18106223414529843,0.18505578640153708
A017_1,-0.10235808,-0.6179319,-0.14693789,0.18400842413844493,0.18106223414529843,0.18505578640153708
A017_2,0.73313075,0.31119522,1.2993898,0.18400842413844493,0.18106223414529843,0.18505578640153708
A017_3,0.25499848,-0.7701924,0.575951,0.18400842413844493,0.18106223414529843,0.18505578640153708
A017_4,0.57012665,0.095533505,1.0316266,0.18400842413844493,0.18106223414529843,0.18505578640153708
A018_1,1.0451229,1.3128198,0.6268562,0.18400842413844493,0.18106223414529843,0.18505578640153708
A018_2,0.2992999,-0.4451527,0.76043326,0.18400842413844493,0.18106223414529843,0.18505578640153708
A018_3,-0.954066,0.0026825727,-0.50555086,0.18400842413844493,0.18106223414529843,0.18505578640153708
A018_4,0.5035908,-0.3657918,0.2788483,0.18400842413844493,0.18106223414529843,0.18505578640153708
A019_1,-0.7491774,-0.8960822,-0.3201535,0.18400842413844493,0.18106223414529843,0.18505578640153708
A019_2,-0.3116389,-0.35176757,-1.2138379,0.18400842413844493,0.18106223414529843,0.18505578640153708
A019_3,-1.0087017,-0.7534727,-0.19527212,0.18400842413844493,0.18106223414529843,0.18505578640153708
A019_4,-0.5575833,-1.0650913,-0.1667026,0.18400842413844493,0.18106223414529843,0.18505578640153708
A020_1,0.10434316,0.2890923,-0.12965822,0.18400842413844493,0.18106223414529843,0.18505578640153708
A020_2,0.71232593,-0.6318175,0.0041445764,0.18400842413844493,0.18106223414529843,0.18505578640153708
A020_3,0.25216648,-1.7276008,-1.1027596,0.18400842413844493,0.18106223414529843,0.18505578640153708
A020_4,-2.0525565,-2.0505488,-1.801316,0.18400842413844493,0.18106223414529843,0.18505578640153708
A021_1,1.1448519,2.080854,0.9606239,0.18400842413844493,0.18106223414529843,0.18505578640153708
A021_2,0.17258783,0.20961349,-0.096019015,0.18400842413844493,0.18106223414529843,0.18505578640153708
A021_3,0.7980209,-0.13666523,-0.6486181,0.18400842413844493,0.18106223414529843,0.18505578640153708
A021_4,0.6280839,-0.09732782,0.8604069,0.18400842413844493,0.18106223414529843,0.18505578640153708
A022_1,-0.7288912,0.7567627,0.6835856,0.18400842413844493,0.18106223414529843,0.18505578640153708
A022_2,0.22581187,-0.14430916,0.8966733,0.18400842413844493,0.18106223414529843,0.18505578640153708
A022_3,0.28018537,1.2176691,0.48463798,0.18400842413844493,0.18106223414529843,0.18505578640153708
A022_4,0.46833944,0.50920415,0.3795011,0.18400842413844493,0.18106223414529843,0.18505578640153708
A023_1,0.79326385,-0.14425646,0.81652915,0.18400842413844493,0.18106223414529843,0.18505578640153708
A023_2,0.16893068,-0.358445,0.045009375,0.18400842413844493,0.18106223414529843,0.18505578640153708
A023_3,0.29332447,0.066910274,0.064837545,0.18400842413844493,0.18106223414529843,0.18505578640153708
A023_4,0.55113876,0.45170528,-0.47864342,0.18400842413844493,0.18106223414529843,0.18505578640153708
A024_1,0.6362684,0.6109983,-0.082041495,0.18400842413844493,0.18106223414529843,0.18505578640153708
A024_2,0.35907272,0.24886596,0.7006601,0.18400842413844493,0.18106223414529843,0.18505578640153708
A024_3,0.09138836,0.5543162,-0.6013302,0.18400842413844493,0.18106223414529843,0.18505578640153708
A024_4,-0.81566983,-1.1492031,-1.0390608,0.18400842413844493,0.18106223414529843,0.18505578640153708
A025_1,2.164654,0.84871733,0.7488073,0.18400842413844493,0.18106223414529843,0.18505578640153708
A025_2,1.5193827,1.6449668,1.3885887,0.18400842413844493,0.18106223414529843,0.18505578640153708
A025_3,-0.31632292,0.54243326,-0.48359656,0.18400842413844493,0.18106223414529843,0.18505578640153708
A025_4,-0.2545017,-0.24227145,-0.8998863,0.18400842413844493,0.18106223414529843,0.18505578640153708
A026_1,0.23353001,0.89765704,0.9951762,0.18400842413844493,0.18106223414529843,0.18505578640153708
A026_2,-0.55855584,1.049434,0.5454587,0.18400842413844493,0.18106223414529843,0.18505578640153708
A026_3,0.48566833,0.7709476,0.6787002,0.18400842413844493,0.18106223414529843,0.18505578640153708
A026_4,-0.26235756,0.09285293,-1.0362893,0.18400842413844493,0.18106223414529843,0.18505578640153708
A027_1,0.4693151,0.22957237,0.97112733,0.18400842413844493,0.18106223414529843,0.18505578640153708
A027_2,0.3253458,1.1590211,0.6450344,0.18400842413844493,0.18106223414529843,0.18505578640153708
A027_3,-0.05445729,-1.501543,-0.49749357,0.18400842413844493,0.18106223414529843,0.18505578640153708
A027_4,-0.4495694,-0.2657413,-0.19212532,0.18400842413844493,0.18106223414529843,0.18505578640153708
A028_1,1.7987607,1.7898645,2.084126,0.18400842413844493,0.18106223414529843,0.18505578640153708
A028_2,0.037209447,-1.5236789,0.61613214,0.18400842413844493,0.18106223414529843,0.18505578640153708
A028_3,0.07332437,0.106275104,0.60395074,0.18400842413844493,0.18106223414529843,0.18505578640153708
