model,AIC,BIC,delta_AIC,delta_BIC,interpretation_AIC,interpretation_BIC
IRT,2576.5018,2596.8621073431045,-2191.8978,-2191.8978,Substantial difference (favors IRT),Substantial difference (favors IRT)
CTT,384.604,404.96430734310434,-2191.8978,-2191.8978,Substantial difference (favors IRT),Substantial difference (favors IRT)
