term,estimate_irt,SE_irt,p_irt,sig_irt,estimate_ctt,SE_ctt,p_ctt,sig_ctt,agreement,beta_ratio,discrepancy_flag
Intercept,0.7469182449191161,0.0941524030270285,2.137821192463096e-15,True,0.820269359864683,0.0228166588417678,4.978467451940515e-283,True,True,1.0982050116522593,False
C(domain)[T.When],-0.3329971395152646,0.1137248929837326,0.0034104727956226,True,-0.4866378632789307,0.0319089912045003,1.6261110342237224e-52,True,True,1.461387518185042,False
C(domain)[T.Where],0.0319762122622944,0.1137248929837324,0.7785787718025462,False,-0.1747185200891327,0.0319089912045003,4.3621320130669874e-08,True,False,-5.464015520536079,False
TSVR_hours,-0.0013600190051646,0.0010967251254858,0.2149484658077267,False,-0.0003156127469605,0.0127597058254733,0.9802662486731516,False,True,0.23206495332931185,False
TSVR_hours:C(domain)[T.When],0.0032583205837147,0.0014909935307498,0.0288642813297918,True,0.0009112845507523,0.0004183437610749,0.0293825823617256,True,True,0.2796792173572361,False
TSVR_hours:C(domain)[T.Where],-0.0009986123320228,0.0014909935307498,0.5030088699530362,False,-0.0001119580657335,0.0004183437610749,0.788990162979538,False,True,0.11211364224465016,False
log_TSVR,-0.1981644019831392,0.0373177933897718,1.0951376609626342e-07,True,-0.0250561797216788,0.0104932112037945,0.016947409455319,True,True,0.12644137630637972,True
log_TSVR:C(domain)[T.When],0.0705922417618927,0.0524797232788026,0.1785820779424919,False,-0.0153846046237175,0.0147247887826764,0.296110853216872,False,True,-0.21793619581610255,False
log_TSVR:C(domain)[T.Where],0.022878226319091,0.0524797232788025,0.6628772796369513,False,-0.0046777435738647,0.0147247887826764,0.750729091477101,False,True,-0.20446268467767115,False
