composite_ID,UID,TEST,CTT_full_what,CTT_full_where,CTT_full_when
A039_1,A039,1,0.9310344827586207,0.865,0.5961538461538461
A039_2,A039,2,0.9310344827586207,0.85,0.6538461538461539
A039_3,A039,3,0.7931034482758621,0.68,0.5769230769230769
A039_4,A039,4,0.8275862068965517,0.745,0.34615384615384615
A040_1,A040,1,0.7241379310344828,0.555,0.5576923076923077
A040_2,A040,2,0.7241379310344828,0.6,0.5192307692307693
A040_3,A040,3,0.5172413793103449,0.355,0.7115384615384616
A040_4,A040,4,0.41379310344827586,0.425,0.4230769230769231
A041_1,A041,1,0.896551724137931,0.735,0.5
A041_2,A041,2,0.6896551724137931,0.45,0.46153846153846156
A041_3,A041,3,0.7931034482758621,0.74,0.38461538461538464
A041_4,A041,4,0.7241379310344828,0.56,0.15384615384615385
A042_1,A042,1,0.6206896551724138,0.515,0.4230769230769231
A042_2,A042,2,0.8275862068965517,0.435,0.36538461538461536
A042_3,A042,3,0.7931034482758621,0.52,0.3076923076923077
A042_4,A042,4,0.6551724137931034,0.45,0.40384615384615385
A043_1,A043,1,0.8620689655172413,0.83,0.4423076923076923
A043_2,A043,2,0.8275862068965517,0.72,0.5384615384615384
A043_3,A043,3,0.896551724137931,0.695,0.5192307692307693
A043_4,A043,4,0.7586206896551724,0.465,0.7115384615384616
A044_1,A044,1,0.8275862068965517,0.645,0.4807692307692308
A044_2,A044,2,0.7241379310344828,0.555,0.5
A044_3,A044,3,0.6551724137931034,0.45,0.3269230769230769
A044_4,A044,4,0.5517241379310345,0.35,0.4230769230769231
A045_1,A045,1,0.7586206896551724,0.54,0.6153846153846154
A045_2,A045,2,0.7931034482758621,0.41,0.4807692307692308
A045_3,A045,3,0.7586206896551724,0.365,0.5769230769230769
A045_4,A045,4,0.5172413793103449,0.48,0.4423076923076923
A046_1,A046,1,0.6896551724137931,0.455,0.5
A046_2,A046,2,0.6551724137931034,0.35,0.46153846153846156
A046_3,A046,3,0.3793103448275862,0.465,0.17307692307692307
A046_4,A046,4,0.4827586206896552,0.46,0.2692307692307692
A047_1,A047,1,0.7931034482758621,0.42,0.4230769230769231
A047_2,A047,2,0.7241379310344828,0.545,0.40384615384615385
A047_3,A047,3,0.5862068965517241,0.52,0.3076923076923077
A047_4,A047,4,0.4827586206896552,0.455,0.4807692307692308
A048_1,A048,1,0.9655172413793104,0.735,0.5576923076923077
A048_2,A048,2,0.7586206896551724,0.615,0.4230769230769231
A048_3,A048,3,0.8275862068965517,0.64,0.5769230769230769
A048_4,A048,4,0.9310344827586207,0.52,0.5769230769230769
A049_1,A049,1,0.9655172413793104,0.85,0.6346153846153846
A049_2,A049,2,0.896551724137931,0.505,0.38461538461538464
A049_3,A049,3,0.8275862068965517,0.61,0.5
A049_4,A049,4,0.6896551724137931,0.65,0.6153846153846154
A050_1,A050,1,0.7586206896551724,0.505,0.5
A050_2,A050,2,0.6551724137931034,0.53,0.5
A050_3,A050,3,0.6551724137931034,0.465,0.36538461538461536
A050_4,A050,4,0.6206896551724138,0.49,0.5384615384615384
A051_1,A051,1,0.9310344827586207,0.79,0.5192307692307693
A051_2,A051,2,0.6896551724137931,0.67,0.34615384615384615
A051_3,A051,3,0.6896551724137931,0.57,0.28846153846153844
A051_4,A051,4,0.6551724137931034,0.58,0.28846153846153844
A052_1,A052,1,0.9310344827586207,0.665,0.6923076923076923
A052_2,A052,2,0.896551724137931,0.685,0.4807692307692308
A052_3,A052,3,0.896551724137931,0.545,0.34615384615384615
A052_4,A052,4,0.7586206896551724,0.545,0.3076923076923077
A053_1,A053,1,0.896551724137931,0.73,0.46153846153846156
A053_2,A053,2,0.8275862068965517,0.8,0.5192307692307693
A053_3,A053,3,0.7586206896551724,0.55,0.40384615384615385
A053_4,A053,4,0.896551724137931,0.51,0.5192307692307693
A054_1,A054,1,0.8275862068965517,0.69,0.5192307692307693
A054_2,A054,2,0.8620689655172413,0.735,0.5
A054_3,A054,3,0.8620689655172413,0.74,0.36538461538461536
A054_4,A054,4,0.9310344827586207,0.75,0.6538461538461539
A055_1,A055,1,0.8620689655172413,0.67,0.6538461538461539
A055_2,A055,2,0.8275862068965517,0.755,0.36538461538461536
A055_3,A055,3,0.8275862068965517,0.585,0.4230769230769231
A055_4,A055,4,0.8275862068965517,0.46,0.3269230769230769
A056_1,A056,1,0.8275862068965517,0.665,0.4230769230769231
A056_2,A056,2,0.896551724137931,0.605,0.5192307692307693
A056_3,A056,3,0.7241379310344828,0.575,0.6346153846153846
A056_4,A056,4,0.6551724137931034,0.485,0.34615384615384615
A057_1,A057,1,0.8620689655172413,0.645,0.38461538461538464
A057_2,A057,2,0.8275862068965517,0.45,0.23076923076923078
A057_3,A057,3,0.7931034482758621,0.465,0.28846153846153844
A057_4,A057,4,0.6896551724137931,0.365,0.36538461538461536
A058_1,A058,1,0.8275862068965517,0.72,0.5384615384615384
A058_2,A058,2,0.7586206896551724,0.47,0.5769230769230769
A058_3,A058,3,0.6896551724137931,0.625,0.40384615384615385
A058_4,A058,4,0.6551724137931034,0.44,0.40384615384615385
A059_1,A059,1,0.9310344827586207,0.8,0.5769230769230769
A059_2,A059,2,0.896551724137931,0.76,0.5576923076923077
A059_3,A059,3,0.896551724137931,0.75,0.3076923076923077
A059_4,A059,4,0.8620689655172413,0.605,0.46153846153846156
A060_1,A060,1,0.896551724137931,0.575,0.6538461538461539
A060_2,A060,2,0.9310344827586207,0.79,0.5
A060_3,A060,3,0.7586206896551724,0.555,0.4423076923076923
A060_4,A060,4,0.8275862068965517,0.59,0.3269230769230769
A061_1,A061,1,0.9655172413793104,0.885,0.8653846153846154
A061_2,A061,2,0.9310344827586207,0.76,0.38461538461538464
A061_3,A061,3,0.8620689655172413,0.65,0.3269230769230769
A061_4,A061,4,0.7931034482758621,0.685,0.23076923076923078
A062_1,A062,1,0.9655172413793104,0.71,0.46153846153846156
A062_2,A062,2,0.896551724137931,0.6,0.5384615384615384
A062_3,A062,3,0.6206896551724138,0.51,0.34615384615384615
A062_4,A062,4,0.6896551724137931,0.485,0.21153846153846154
A063_1,A063,1,0.9310344827586207,0.7,0.4230769230769231
A063_2,A063,2,0.7931034482758621,0.74,0.46153846153846156
A063_3,A063,3,0.8275862068965517,0.525,0.4423076923076923
A063_4,A063,4,0.6896551724137931,0.515,0.40384615384615385
A064_1,A064,1,0.896551724137931,0.68,0.7884615384615384
A064_2,A064,2,0.8620689655172413,0.63,0.5384615384615384
A064_3,A064,3,0.8275862068965517,0.54,0.7115384615384616
A064_4,A064,4,0.8275862068965517,0.515,0.38461538461538464
A065_1,A065,1,0.5172413793103449,0.37,0.34615384615384615
A065_2,A065,2,0.6551724137931034,0.49,0.4230769230769231
A065_3,A065,3,0.41379310344827586,0.365,0.3076923076923077
A065_4,A065,4,0.3448275862068966,0.35,0.34615384615384615
A066_1,A066,1,0.896551724137931,0.6,0.38461538461538464
A066_2,A066,2,0.7931034482758621,0.525,0.3076923076923077
A066_3,A066,3,0.6206896551724138,0.42,0.4230769230769231
A066_4,A066,4,0.6206896551724138,0.405,0.3269230769230769
A067_1,A067,1,0.896551724137931,0.66,0.5
A067_2,A067,2,0.6551724137931034,0.43,0.46153846153846156
A067_3,A067,3,0.6206896551724138,0.425,0.40384615384615385
A067_4,A067,4,0.5862068965517241,0.4,0.4423076923076923
A068_1,A068,1,0.8620689655172413,0.8,0.5576923076923077
A068_2,A068,2,0.8275862068965517,0.6,0.5769230769230769
A068_3,A068,3,0.8620689655172413,0.6,0.3269230769230769
A068_4,A068,4,0.7241379310344828,0.53,0.5576923076923077
A069_1,A069,1,0.8275862068965517,0.45,0.3076923076923077
A069_2,A069,2,0.6551724137931034,0.425,0.3076923076923077
A069_3,A069,3,0.7241379310344828,0.495,0.36538461538461536
A069_4,A069,4,0.5172413793103449,0.375,0.3076923076923077
A070_1,A070,1,0.8620689655172413,0.715,0.7307692307692307
A070_2,A070,2,0.8620689655172413,0.56,0.40384615384615385
A070_3,A070,3,0.7586206896551724,0.495,0.40384615384615385
A070_4,A070,4,0.7586206896551724,0.395,0.4230769230769231
A071_1,A071,1,0.9310344827586207,0.68,0.38461538461538464
A071_2,A071,2,0.8620689655172413,0.67,0.4230769230769231
A071_3,A071,3,0.5517241379310345,0.525,0.5384615384615384
A071_4,A071,4,0.6551724137931034,0.575,0.23076923076923078
A072_1,A072,1,0.8620689655172413,0.76,0.4230769230769231
A072_2,A072,2,0.7586206896551724,0.675,0.5384615384615384
A072_3,A072,3,0.6896551724137931,0.615,0.36538461538461536
A072_4,A072,4,0.6896551724137931,0.72,0.34615384615384615
A073_1,A073,1,0.8620689655172413,0.685,0.4807692307692308
A073_2,A073,2,0.6551724137931034,0.565,0.5192307692307693
A073_3,A073,3,0.7586206896551724,0.595,0.38461538461538464
A073_4,A073,4,0.7586206896551724,0.74,0.5192307692307693
A074_1,A074,1,0.8275862068965517,0.78,0.40384615384615385
A074_2,A074,2,0.6551724137931034,0.655,0.3269230769230769
A074_3,A074,3,0.6551724137931034,0.575,0.28846153846153844
A074_4,A074,4,0.5517241379310345,0.48,0.5384615384615384
A075_1,A075,1,0.7241379310344828,0.69,0.4230769230769231
A075_2,A075,2,0.7586206896551724,0.65,0.4807692307692308
A075_3,A075,3,0.5862068965517241,0.32,0.4230769230769231
A075_4,A075,4,0.5862068965517241,0.485,0.28846153846153844
A076_1,A076,1,0.6896551724137931,0.505,0.4423076923076923
A076_2,A076,2,0.7586206896551724,0.48,0.3076923076923077
A076_3,A076,3,0.5517241379310345,0.44,0.5192307692307693
A076_4,A076,4,0.41379310344827586,0.3,0.5769230769230769
A077_1,A077,1,0.9655172413793104,0.685,0.6538461538461539
A077_2,A077,2,0.8620689655172413,0.585,0.38461538461538464
A077_3,A077,3,0.8275862068965517,0.555,0.46153846153846156
A077_4,A077,4,0.896551724137931,0.705,0.28846153846153844
A078_1,A078,1,0.7931034482758621,0.645,0.4807692307692308
A078_2,A078,2,0.7931034482758621,0.63,0.38461538461538464
A078_3,A078,3,0.6896551724137931,0.52,0.3269230769230769
A078_4,A078,4,0.7586206896551724,0.365,0.4230769230769231
A079_1,A079,1,0.7586206896551724,0.785,0.46153846153846156
A079_2,A079,2,0.6206896551724138,0.545,0.38461538461538464
A079_3,A079,3,0.6551724137931034,0.51,0.38461538461538464
A079_4,A079,4,0.6551724137931034,0.44,0.4807692307692308
A080_1,A080,1,0.8275862068965517,0.69,0.5384615384615384
A080_2,A080,2,0.8275862068965517,0.66,0.46153846153846156
A080_3,A080,3,0.8620689655172413,0.645,0.5
A080_4,A080,4,0.6551724137931034,0.505,0.2692307692307692
A081_1,A081,1,0.7931034482758621,0.63,0.6923076923076923
A081_2,A081,2,0.7241379310344828,0.595,0.5769230769230769
A081_3,A081,3,0.896551724137931,0.735,0.3076923076923077
A081_4,A081,4,0.8275862068965517,0.65,0.2692307692307692
A082_1,A082,1,0.896551724137931,0.645,0.6923076923076923
A082_2,A082,2,0.9310344827586207,0.775,0.4230769230769231
A082_3,A082,3,0.8620689655172413,0.56,0.5
A082_4,A082,4,0.8275862068965517,0.58,0.3269230769230769
A083_1,A083,1,0.896551724137931,0.825,0.5961538461538461
A083_2,A083,2,0.8620689655172413,0.675,0.28846153846153844
A083_3,A083,3,0.7931034482758621,0.585,0.3269230769230769
A083_4,A083,4,0.6896551724137931,0.64,0.6153846153846154
A084_1,A084,1,0.7931034482758621,0.75,0.46153846153846156
A084_2,A084,2,0.6206896551724138,0.57,0.46153846153846156
A084_3,A084,3,0.7586206896551724,0.64,0.40384615384615385
A084_4,A084,4,0.6896551724137931,0.665,0.5769230769230769
A085_1,A085,1,0.7586206896551724,0.685,0.46153846153846156
A085_2,A085,2,0.8275862068965517,0.8,0.5961538461538461
A085_3,A085,3,0.8275862068965517,0.6,0.4807692307692308
A085_4,A085,4,0.4482758620689655,0.56,0.6153846153846154
A086_1,A086,1,0.8620689655172413,0.695,0.5576923076923077
A086_2,A086,2,0.6551724137931034,0.63,0.5769230769230769
A086_3,A086,3,0.6206896551724138,0.385,0.36538461538461536
A086_4,A086,4,0.7241379310344828,0.345,0.40384615384615385
A087_1,A087,1,0.9655172413793104,0.85,0.5
A087_2,A087,2,0.8620689655172413,0.775,0.40384615384615385
A087_3,A087,3,0.7931034482758621,0.59,0.36538461538461536
A087_4,A087,4,0.896551724137931,0.565,0.2692307692307692
A088_1,A088,1,0.8275862068965517,0.87,0.4807692307692308
A088_2,A088,2,0.9655172413793104,0.925,0.5576923076923077
A088_3,A088,3,0.7931034482758621,0.675,0.3076923076923077
A088_4,A088,4,0.8275862068965517,0.78,0.38461538461538464
A089_1,A089,1,0.896551724137931,0.815,0.7692307692307693
A089_2,A089,2,0.8620689655172413,0.715,0.46153846153846156
A089_3,A089,3,0.8620689655172413,0.695,0.28846153846153844
A089_4,A089,4,0.7931034482758621,0.75,0.3269230769230769
A090_1,A090,1,0.7931034482758621,0.68,0.40384615384615385
A090_2,A090,2,0.6206896551724138,0.565,0.28846153846153844
A090_3,A090,3,0.3793103448275862,0.48,0.34615384615384615
A090_4,A090,4,0.6551724137931034,0.38,0.38461538461538464
A091_1,A091,1,0.8275862068965517,0.695,0.4807692307692308
A091_2,A091,2,0.7586206896551724,0.57,0.4423076923076923
A091_3,A091,3,0.6551724137931034,0.465,0.3269230769230769
A091_4,A091,4,0.7931034482758621,0.435,0.4230769230769231
A092_1,A092,1,0.6551724137931034,0.58,0.28846153846153844
A092_2,A092,2,0.6896551724137931,0.49,0.5576923076923077
A092_3,A092,3,0.6896551724137931,0.565,0.36538461538461536
A092_4,A092,4,0.5862068965517241,0.465,0.4423076923076923
A093_1,A093,1,0.8275862068965517,0.68,0.46153846153846156
A093_2,A093,2,0.7931034482758621,0.59,0.4423076923076923
A093_3,A093,3,0.9310344827586207,0.64,0.6346153846153846
A093_4,A093,4,0.7241379310344828,0.67,0.38461538461538464
A094_1,A094,1,0.7586206896551724,0.44,0.36538461538461536
A094_2,A094,2,0.7241379310344828,0.54,0.4423076923076923
A094_3,A094,3,0.6206896551724138,0.4,0.23076923076923078
A094_4,A094,4,0.6551724137931034,0.43,0.5384615384615384
A095_1,A095,1,0.896551724137931,0.74,0.46153846153846156
A095_2,A095,2,0.6896551724137931,0.56,0.4423076923076923
A095_3,A095,3,0.7241379310344828,0.48,0.36538461538461536
A095_4,A095,4,0.7241379310344828,0.45,0.36538461538461536
A096_1,A096,1,0.6206896551724138,0.52,0.5384615384615384
A096_2,A096,2,0.41379310344827586,0.49,0.36538461538461536
A096_3,A096,3,0.3448275862068966,0.35,0.38461538461538464
A096_4,A096,4,0.4482758620689655,0.445,0.4807692307692308
A097_1,A097,1,0.896551724137931,0.565,0.4807692307692308
A097_2,A097,2,0.7241379310344828,0.58,0.38461538461538464
A097_3,A097,3,0.7586206896551724,0.7,0.46153846153846156
A097_4,A097,4,0.8620689655172413,0.655,0.38461538461538464
A098_1,A098,1,0.8275862068965517,0.69,0.6730769230769231
A098_2,A098,2,0.7586206896551724,0.645,0.4423076923076923
A098_3,A098,3,0.8275862068965517,0.745,0.5384615384615384
A098_4,A098,4,0.7931034482758621,0.42,0.38461538461538464
A099_1,A099,1,0.8620689655172413,0.795,0.5961538461538461
A099_2,A099,2,0.8620689655172413,0.78,0.4423076923076923
A099_3,A099,3,0.7241379310344828,0.58,0.5961538461538461
A099_4,A099,4,0.7931034482758621,0.745,0.4230769230769231
A100_1,A100,1,0.6206896551724138,0.575,0.4423076923076923
A100_2,A100,2,1.0,0.65,0.4807692307692308
A100_3,A100,3,0.896551724137931,0.605,0.34615384615384615
A100_4,A100,4,0.7586206896551724,0.535,0.4230769230769231
A101_1,A101,1,0.5862068965517241,0.465,0.5
A101_2,A101,2,0.6206896551724138,0.515,0.5576923076923077
A101_3,A101,3,0.6551724137931034,0.375,0.3269230769230769
A101_4,A101,4,0.4827586206896552,0.495,0.38461538461538464
A102_1,A102,1,0.8275862068965517,0.62,0.5384615384615384
A102_2,A102,2,0.9310344827586207,0.705,0.5
A102_3,A102,3,0.7586206896551724,0.55,0.6346153846153846
A102_4,A102,4,0.7241379310344828,0.49,0.4230769230769231
A103_1,A103,1,0.9310344827586207,0.82,0.6730769230769231
A103_2,A103,2,0.7241379310344828,0.45,0.5
A103_3,A103,3,0.5862068965517241,0.45,0.5961538461538461
A103_4,A103,4,0.6896551724137931,0.49,0.4423076923076923
A104_1,A104,1,0.896551724137931,0.78,0.38461538461538464
A104_2,A104,2,0.7586206896551724,0.615,0.5
A104_3,A104,3,0.896551724137931,0.635,0.38461538461538464
A104_4,A104,4,0.5172413793103449,0.33,0.38461538461538464
A105_1,A105,1,0.8275862068965517,0.66,0.5961538461538461
A105_2,A105,2,0.7586206896551724,0.705,0.3076923076923077
A105_3,A105,3,0.7931034482758621,0.52,0.40384615384615385
A105_4,A105,4,0.7586206896551724,0.705,0.3269230769230769
A106_1,A106,1,1.0,0.7,0.5384615384615384
A106_2,A106,2,0.7931034482758621,0.65,0.4807692307692308
A106_3,A106,3,0.896551724137931,0.67,0.38461538461538464
A106_4,A106,4,0.9310344827586207,0.71,0.28846153846153844
A107_1,A107,1,0.7586206896551724,0.485,0.4423076923076923
A107_2,A107,2,0.5862068965517241,0.42,0.5
A107_3,A107,3,0.6206896551724138,0.415,0.5
A107_4,A107,4,0.5517241379310345,0.36,0.28846153846153844
A108_1,A108,1,0.6896551724137931,0.585,0.4807692307692308
A108_2,A108,2,0.5862068965517241,0.43,0.36538461538461536
A108_3,A108,3,0.5862068965517241,0.62,0.5384615384615384
A108_4,A108,4,0.4482758620689655,0.425,0.4423076923076923
A109_1,A109,1,0.7586206896551724,0.465,0.40384615384615385
A109_2,A109,2,0.6206896551724138,0.455,0.4807692307692308
A109_3,A109,3,0.7241379310344828,0.48,0.46153846153846156
A109_4,A109,4,0.6551724137931034,0.375,0.25
