measurement,AIC,BIC,logLik,delta_AIC,interpretation
Full CTT,2954.0798851203253,3020.2508839854145,-1464.0399425601627,-53.13153169807629,Substantial support for lower AIC (|delta_AIC| >= 7)
Purified CTT,3108.503283484719,3174.674282349808,-1541.2516417423594,101.29186666631722,Substantial support for lower AIC (|delta_AIC| >= 7)
IRT theta,3007.2114168184016,3073.3824156834908,-1490.6057084092008,0.0,Equivalent fit (|delta_AIC| < 2)
