domain,alpha_full,CI_lower_full,CI_upper_full,n_items_full,alpha_purified,CI_lower_purified,CI_upper_purified,n_items_purified,delta_alpha
what,0.7116170771481899,0.6605969026640565,0.7529378571163141,29,0.7017922565160718,0.6487414294572007,0.7440068914246625,19,-0.009824820632118092
where,0.8213610385100276,0.7975139628745163,0.8428004819215386,50,0.8285912662028387,0.8044425960297038,0.8485303065592139,45,0.00723022769281112
when,0.5748369142584576,0.5015754406685639,0.629956524426885,26,0.6159121288991227,0.5513939892809891,0.6738224650517292,5,0.0410752146406651
