UID,PC1,PC2,cluster
A010,0.6715345316927855,0.3005819583457031,3
A011,1.8605309612458756,-0.3131344548545267,3
A012,-0.4789716071085498,1.3747892940030861,0
A013,0.8221256233140597,-0.688698721045123,3
A014,1.2243079563340689,0.08422433538870876,3
A015,1.6755905603998318,0.7149045847697783,3
A016,0.7958203395235991,-0.15147302783657995,3
A017,1.2180862702000883,2.5419817110990564,0
A018,1.7465550912513053,-1.0188245778625034,2
A019,-3.610283711219728,-0.6985573782238078,4
A020,1.6135905841185383,-1.8173084444760739,2
A021,-0.23114213365000874,1.4693048206704173,0
A022,-1.0949463245600324,-0.8929075825888309,1
A023,0.04723477979817333,0.9817237680464744,0
A024,-0.3091094311254097,0.36520014373534176,0
A025,1.9819184686123321,-1.5212662633153309,2
A026,-0.2948816038098705,1.531515738476365,0
A027,1.8805501003249103,-1.5319484801635699,2
A028,2.050012719837979,-1.1612443448229464,2
A029,1.8109323845565843,0.5619683991983775,3
A030,-0.9204154739069367,1.6111352453653294,0
A031,2.3185247776229194,-0.8114769754638038,2
A032,0.3765602123986488,1.1530110416077266,0
A033,-0.12243832987530316,1.0725881963258856,0
A034,2.115322319076507,0.4711349722569681,3
A035,0.9483882370072083,-0.5184600193681929,3
A036,-3.3392766025633964,-0.38863858868465145,4
A037,0.8345371404273524,-0.47335621806258643,3
A038,0.14268155350274664,1.6957857134263767,0
A039,1.425993492254645,1.5965133559857048,3
A040,0.41443007090897205,0.175920739861474,3
A041,0.4078303086977598,1.1060553455660267,0
A042,-3.6351353876982753,0.55827673414751,4
A043,2.1089155917099047,0.9058852058816198,3
A044,-1.769690706926316,-1.0406038700417488,1
A045,0.22353721424382691,0.5970111668621771,3
A046,-1.9861233041625617,-0.23002686383263463,1
A047,-0.94132310087284,-1.3733283247360262,1
A048,-0.04860260085676445,1.0240588540212745,0
A049,-0.02775993218137616,1.1559516802769125,0
A050,1.4362569516622739,-1.4686030056612014,2
A051,1.3340655971693909,0.2261188083980416,3
A052,-1.2547307877340437,1.15635324008534,0
A053,-0.4289797825405252,-2.8458003851008336,1
A054,0.7113755527731335,1.7207644307145644,0
A055,0.4988129436473288,-1.9944547763897913,2
A056,0.14575093527472435,-1.5247758285318775,2
A057,0.5709488099813858,-1.7016785129558432,2
A058,0.8135253588219367,-0.49105899873141445,3
A059,-1.4841065964212474,1.4660093078569068,0
A060,-1.2340091536814817,2.7985142421968265,0
A061,2.0957044132714135,1.307918196418276,3
A062,1.4598433996393823,-1.1911030468833461,2
A063,-1.935322055420955,-1.3820442743563948,1
A064,0.18270470603414318,0.45959560069079086,0
A065,-0.6824262875361458,-1.413247286178282,1
A066,-0.6063534439473786,-0.5162534367516798,1
A067,-1.9121594422658656,-0.8042516954658613,1
A068,1.9838862016341214,0.5306721641475886,3
A069,-1.9137714466294218,-0.9483769522509692,1
A070,1.607833448757072,-2.0451207023022455,2
A071,0.3708772066129554,-0.2823807559737201,3
A072,1.5139994542368787,0.26712022521630274,3
A073,-0.9571295718003363,0.15124797010724353,1
A074,0.2712243879989182,0.8586840574114136,0
A075,-1.4859435264465306,0.8525308010153054,0
A076,-1.6707377049853551,-0.861511436062095,1
A077,-0.31496532366243163,0.9925415578530933,0
A078,-1.313304487399816,-1.0511929034377412,1
A079,-0.13458071444598516,0.46599441061611935,0
A080,1.3333371551838618,-0.4501441286850499,3
A081,1.0370625419161321,-0.2889743404362041,3
A082,0.347508875581521,-0.3797642168529606,3
A083,0.20388290114755633,0.5508814951050776,0
A084,-3.0950507584358227,0.4344079292369134,4
A085,1.81257834838278,0.4704584760702791,3
A086,1.7665470450715912,-0.6518064261630611,2
A087,1.2289345552115822,1.1395263700892249,3
A088,0.2302036786601636,1.6821850162562488,0
A089,0.6676403882606032,0.8611097965573279,3
A090,-2.683367773362921,-1.175301461316415,4
A091,-0.6812921958714642,0.5730581781457165,0
A092,1.2491116530273105,-1.260082158277019,2
A093,0.870135043718091,-2.7386312246572313,2
A094,-2.4598912346342803,-0.5249514355405828,4
A095,0.5705178291141185,-0.5241869303325124,3
A096,0.2631275987048687,0.6156371063670844,0
A097,-2.7734782733810914,-0.7951123764069691,4
A098,0.03314311302949028,1.0705920109002014,0
A099,-0.3760256658751037,2.557930774162695,0
A100,-0.4745337899877886,-1.227833112568244,1
A101,-0.7854532231172514,-1.834694871730235,1
A102,-0.42866100134807805,0.9715508027624908,0
A103,-3.0390159347876873,-0.4939077465499352,4
A104,2.4493002462058753,-1.220337992333874,2
A105,1.6722643501147398,0.4309370025255187,3
A106,-0.5158995449864902,1.3645174382255265,0
A107,-3.819759126954733,-0.4106032302465754,4
A108,-1.215071176207101,0.3527044241995484,1
A109,-2.961495705521266,-0.2496450541408556,4
