K,inertia,BIC,optimal
1,399.99999999999994,157.05011685594144,False
2,238.50550606268737,123.76358251695878,False
3,148.91387557646942,95.08183588948312,False
4,119.76323873872354,91.71738270922212,False
5,98.55655235305579,90.64943701988228,True
6,87.22293034671415,96.85379176870322,False
