UID,Source_intercept,Source_slope,Destination_intercept,Destination_slope
A010,0.1937178605701286,0.0627025392042498,0.2465221713275027,-0.1012650202943148
A011,0.2466768662898751,-0.0571246931545964,0.5790047936649185,-0.2546388069806218
A012,0.278428343179236,0.1734509601066433,0.0598568612158033,0.1381270756741021
A013,-0.0523176482160676,-0.0755747675293225,0.1650370557948482,-0.1605043636247952
A014,0.3370825277299089,0.0052078102786576,0.3228318284506126,-0.1586677181471769
A015,0.7099422246901078,0.0621536993496117,0.4681068862691365,-0.1651990369948934
A016,0.1860479268187297,-0.1271593519597353,0.2644049506855087,-0.0095870639169435
A017,0.7807649755462053,0.2852235728629932,0.9433521816684408,0.0018573553883526
A018,0.2385375110063408,-0.1747411909991763,0.262418904920122,-0.2479123065541523
A019,-1.244931669950312,0.1646427000749902,-1.137295662398511,0.20789059826357
A020,0.0797640105538015,-0.3091666173691393,0.0524003354349698,-0.2381107062918157
A021,0.3828204033380133,0.2552146271756673,0.0482407811691937,0.0391768070307031
A022,-0.4061377771000194,-0.0483222261486246,-0.5902155099192931,0.0392610521218968
A023,0.221619073473481,0.0922116116117176,0.2491181910248423,0.0768335450243328
A024,0.2158026876338895,-0.1307884687602964,-0.0334750541174854,0.2380549879819615
A025,0.4186074197627971,-0.328391197249569,0.0841403788482105,-0.2170492262392115
A026,0.0998145037292738,0.2065460075096357,0.3825001504458591,0.1082559221181854
A027,0.0931184453272629,-0.2413548845965777,0.2607438694704895,-0.2913702081337621
A028,0.1821620943235763,-0.25428613247246,0.4754440197475199,-0.2354505213695409
A029,0.7851239417870465,-0.0991533922474227,0.5444840846237641,-0.0501428892219544
A030,0.2599983035471673,0.265700849396884,-0.1096679423887798,0.148870129570026
A031,0.3330598246426793,-0.2101769685984304,0.6078188580444234,-0.2539778632144233
A032,0.446818372486715,0.0393353003767053,0.3403716453584323,0.1147420665797638
A033,0.23445903620685,0.1776973607147497,0.1122572756802252,0.0309422294636481
A034,0.7180507465143305,-0.0308443565013067,0.6437203195333061,-0.176269136243797
A035,0.1115497208349729,-0.0727510780593772,0.1566004510649742,-0.1504675431934855
A036,-1.116400872451324,0.2132467557307219,-1.0080478096488172,0.1774357985321013
A037,0.1829878049060908,-0.1351942340148998,0.1177674937384026,-0.0645305006809855
A038,0.2628489779711008,0.2464472368897886,0.4900729820603975,0.0374943926765903
A039,0.786505079837699,0.0003034941216108,0.8165006382304528,0.0886168978578436
A040,0.094219287568244,0.0191998708969301,0.1922819626503839,-0.0446809919488358
A041,0.5101628747363911,0.1048235716952232,0.1992821430646124,0.0364840324359291
A042,-0.916718401995913,0.1947061467405956,-0.8143842819425424,0.4057770549951061
A043,0.7361088694406351,-0.1071838801927173,0.9414877506127816,-0.0212647872616082
A044,-0.7294298150518002,-0.005293658997038,-0.7347674633393139,0.0629790095843739
A045,-0.0758936352900584,0.1741616899379109,0.3368413704294868,-0.0975474022517184
A046,-0.573501673254485,0.1095564992577432,-0.6710788912031574,0.1228173458395041
A047,-0.5221542944154086,-0.1033058108171878,-0.605277694464897,-0.0127080416012512
A048,0.2359736244344116,0.0369155953306939,0.2672257738622574,0.1527781366870604
A049,0.4232086303009748,0.0686722423156984,0.1312352077233155,0.1414458179839766
A050,0.0978767203828446,-0.2678501100928267,0.0944554572912845,-0.1926370856127853
A051,0.3164234247874383,-0.0594400434385032,0.5440332274380785,-0.0836635974614566
A052,-0.0034171336208821,0.1138454784681378,-0.1094214476606535,0.2654831241210392
A053,-0.6814000810121851,-0.3111655449275861,-0.785089184639788,-0.1387724490747381
A054,0.7495050327228089,0.1854731467753933,0.3695405292363264,0.0239341563844272
A055,-0.2494419023295443,-0.2632729267020613,-0.3273074612552994,-0.1621820691493206
A056,-0.2967772271421157,-0.1924316727896859,-0.2726169593758843,-0.1003063518903076
A057,-0.1360763173418218,-0.2576195814289105,-0.248128867432704,-0.1254954237691071
A058,-0.0029247660967448,-0.1089776453524684,0.2552076741601693,-0.0906415980767131
A059,0.0722221769106608,0.2374665885746038,-0.2577468287071895,0.2287491838178663
A060,0.0827308201475446,0.3959182231358887,0.4284652352787855,0.2748536241577671
A061,0.7086976407935975,-0.0174223985006444,1.0907414324667075,-0.037052634449667
A062,0.2201474366657905,-0.2143425807665183,0.0822384073984057,-0.1998601345962743
A063,-0.8593366629056307,-0.0224930355446158,-0.8594839920012968,0.0419629249052962
A064,0.2216203873134771,-0.0817011200702801,0.2098145713472356,0.1384731253568787
A065,-0.5988641344978863,-0.0656599961011553,-0.45950031951868,-0.0928188542748353
A066,-0.2182549033316349,-0.0119037101183326,-0.360890721277547,0.0029827913439679
A067,-0.6104304705447345,-0.0604073452454944,-0.7374714292307224,0.1796857183394259
A068,0.6638070591256797,-0.0071291111078749,0.639675892765671,-0.1711654260470123
A069,-0.9185336619819696,0.0822515904107752,-0.659171592511186,0.0121699114941628
A070,0.012537614787703,-0.3242474140956345,0.0063830929873362,-0.262933706510456
A071,0.1832236857033802,-0.054732619890134,-0.0943268504115274,-0.0471292675459779
A072,0.4694960009729902,-0.1660382192100148,0.6156071057783268,0.0052068753276356
A073,-0.1806731936342301,0.1186667740512339,-0.3423862210731617,0.0401399055241975
A074,0.231317078055837,0.0233682536224511,0.3559268332196794,0.0928394785106499
A075,-0.1759939212350083,0.1636772564737242,-0.2735177762791635,0.1933126590517755
A076,-0.6558036802027656,0.0198720184385423,-0.6854685473768888,0.0562054525666215
A077,0.2770499218842185,0.0813955320630179,0.0285589739350359,0.1391321806939737
A078,-0.5373136138990798,-0.0689662952278271,-0.635657952910911,0.0617331299913069
A079,0.0400185103948828,0.0386040158346855,0.1093142459115361,0.0632909378278515
A080,0.1971678248335111,-0.1686950487479429,0.402658381861172,-0.0953247634268345
A081,0.2496287985639986,-0.0897328105227186,0.2080951977756184,-0.1048221982403212
A082,0.2184894925435082,-0.0972429508293738,-0.1508169940510031,-0.0189699982752103
A083,0.241837898362516,-0.0229996165079292,0.1898363446378048,0.0932335234773396
A084,-0.8423669258591661,0.2905170900667943,-0.78379939858325,0.2136522062758079
A085,0.5121351574843487,0.0316682264247853,0.6307840646136275,-0.1969224132639672
A086,0.423234277144239,-0.2155471347515413,0.3334705566754412,-0.1444991653425987
A087,0.4219936524196364,0.1697324870005584,0.6520772082105064,-0.1347846646752842
A088,0.3195979385570257,0.1506762933253377,0.5695601852071038,0.1186294262905009
A089,0.5095464024663132,0.0453296490716898,0.2574773101345294,0.0164170998624725
A090,-1.0429280315982066,0.0581974763289911,-1.023567698311127,0.10132423222818
A091,-0.1417144267290008,0.0728899505491501,0.0380297321654964,0.1235466828936655
A092,0.1976967153791471,-0.262604411486171,0.0103578631376868,-0.1350583389635942
A093,-0.3777381264602102,-0.3341183626474165,-0.3494282821229404,-0.2753840752369869
A094,-0.803164314749114,0.0609726396615172,-0.7936624086313252,0.1839438835991887
A095,0.1157610889049531,-0.061214591777926,-0.0532029510160209,-0.1112144879464886
A096,0.0948182513438933,0.0883323146975632,0.2862321987567715,-0.0142276156197684
A097,-0.9956339770454206,0.1041146701847147,-0.9539859221382718,0.1358231875730929
A098,0.5805676880053869,0.0431239122872319,-0.0152207061310592,0.1430119547349763
A099,0.3633708345592987,0.3130963505102229,0.5349494336041409,0.1962895171919028
A100,-0.5188915200112736,-0.0816414557360531,-0.3154337652552407,-0.0722994806487303
A101,-0.719186844787325,-0.1260042242642118,-0.5615712167181266,-0.0936657125423695
A102,0.1099574032613642,0.1344648458921518,0.0708842822015672,0.0982740549902657
A103,-1.0653670623335902,0.16724492910142,-0.9178106427946404,0.1632628196216773
A104,0.4540568412188303,-0.3066876873327385,0.4279443784426721,-0.2489782366418717
A105,0.6174580515072683,-0.0820214653617985,0.5513731206567182,-0.0713847326104666
A106,0.0777304857890359,0.1574336277308423,0.2518893278927427,0.1577561407936547
A107,-1.232714160926119,0.2240215419944373,-1.1578193207872551,0.2288527251282779
A108,-0.3711149621856207,0.1903244342085477,-0.2461335297732647,0.0403893174032706
A109,-0.9641564719943904,0.1943245817804248,-0.8728042846044449,0.1691364087702881
