UID,Source_intercept_z,Source_slope_z,Destination_intercept_z,Destination_slope_z
A010,0.3757813740237389,0.3737909770993002,0.4789343967073101,-0.6705044233164853
A011,0.47851329496136946,-0.34053955616054205,1.1248696620319414,-1.6860357696301678
A012,0.5401060338944303,1.033999654238557,0.11628775440688208,0.9145785479535018
A013,-0.101487790926781,-0.45052667016909553,0.32062804868958317,-1.0627449188203508
A014,0.6538856822852643,0.031045512945914365,0.6271860505054,-1.0505839681462865
A015,1.3771732967024974,0.37051915767795357,0.9094212011949563,-1.0938296828536593
A016,0.3609029408462863,-0.7580397703115925,0.5136764164500229,-0.0634786695765802
A017,1.5145579991275517,1.7003138843376464,1.8327106465798642,0.01229807686742775
A018,0.46272425979903536,-1.0416911556055517,0.5098179982584399,-1.6414977023263762
A019,-2.4149664471967363,0.9814906463808153,-2.209497056656439,1.3765026195275427
A020,0.15472930268451204,-1.8430464453194462,0.10180148464402287,-1.5765985267534495
A021,0.7426097766478399,1.5214204412244987,0.09372045241019496,0.25940075189988915
A022,-0.7878417171881894,-0.2880650824820736,-1.1466494378510208,0.25995856254490657
A023,0.42990522244377144,0.5497045070530245,0.4839778502875315,0.5087366955358594
A024,0.4186223729624627,-0.7796741591593934,-0.0650341296369793,1.5762296000193374
A025,0.8120308107473103,-1.9576506477811912,0.16346489796594002,-1.4371444932103796
A026,0.1936240223203659,1.2312903901944898,0.7431075177042521,0.7167931672702518
A027,0.18063475008988958,-1.4387978427343946,0.5065637997082116,-1.9292447955723222
A028,0.35336505316800376,-1.515885371245707,0.9236755198921668,-1.558984687818336
A029,1.5230136898856756,-0.5910868019259131,1.0578040716653463,-0.33201029263089477
A030,0.5043547325127824,1.5839323474390292,-0.2130589291148378,0.9857113550788934
A031,0.6460822877559229,-1.2529357734662734,1.1808485886573705,-1.6816594734766535
A032,0.8667555044121718,0.23449098790733855,0.6612617751506426,0.7597397695532337
A033,0.4548126771521734,1.0593138799876727,0.2180893925864785,0.20487727808034106
A034,1.3929025199317868,-0.1838736086439239,1.2505966551558036,-1.167127950027947
A035,0.21638844887075132,-0.4336937051984469,0.30423771683909673,-0.9962882837881625
A036,-2.1656374511692813,1.271235809576907,-1.9583989828034603,1.1748527519640057
A037,0.3549667983882433,-0.8059384112979532,0.22879444579612668,-0.42727474916486424
A038,0.5098845806577461,1.4691550717010364,0.9520961410559492,0.24826100924240296
A039,1.5256928747211018,0.00180923078555559,1.586268036161861,0.58675761700909
A040,0.1827702063079263,0.11445690388017855,0.3735584725858906,-0.29584552151168253
A041,0.9896336118937267,0.6248886533823235,0.3871581710044029,0.24157112749905751
A042,-1.7782856969461618,1.1607089882011363,-1.582156455379857,2.686764980284412
A043,1.4279323629496934,-0.6389592481418132,1.829088497066755,-0.14080018824222598
A044,-1.4149760757595038,-0.031557286101089495,-1.4274797673555755,0.41700188653183673
A045,-0.14722139953961685,1.0382365543937127,0.6544032841508238,-0.6458890197495144
A046,-1.1125006550568715,0.653103230345016,-1.3037479029600703,0.81320848409489
A047,-1.0128950300727966,-0.6158407690573203,-1.1759117075673602,-0.08414354809354858
A048,0.4577507337854555,0.22006631029588697,0.5191566101344253,1.011587378711814
A049,0.8209564163322584,0.4093783901026617,0.2549590355271732,0.9365528821525277
A050,0.18986503548075093,-1.5967448150962085,0.18350466089890213,-1.2755047855890325
A051,0.6138103579606441,-0.35434213985064567,1.0569281625612494,-0.5539604100748489
A052,-0.006628687532985369,0.6786712814982511,-0.2125800480337935,1.757839069420795
A053,-1.321806146057191,-1.854962726457418,-1.5252429953140794,-0.9188517483000737
A054,1.4539187569249625,1.1056679623934151,0.7179300323197951,0.15847483837425233
A055,-0.48387701846706005,-1.5694586816523348,-0.6358811487420144,-1.0738534829814734
A056,-0.5756999063803232,-1.1471500821139662,-0.5296304112031166,-0.6641568078860791
A057,-0.26396608630874585,-1.5357571843868536,-0.4820558280402115,-0.8309407977068975
A058,-0.005673574028218987,-0.6496524870482305,0.4958082788285923,-0.6001637314669378
A059,0.14009936303549397,1.4156183991624132,-0.500741256842599,1.5146132310460414
A060,0.16048443430904283,2.360202016625062,0.8324068292246434,1.819883808117856
A061,1.374759004879627,-0.10386079163007507,2.1190531752542214,-0.2453360027166785
A062,0.42705048463059164,-1.2777683920856606,0.1597698163269882,-1.3233306417354604
A063,-1.6669743873139151,-0.1340885686744457,-1.6697745479528328,0.27784842863333936
A064,0.4299077710812462,-0.48704792323796825,0.40762019337844646,0.9168698410605847
A065,-1.1616997351345648,-0.3914213748033275,-0.8927006732515484,-0.6145799623361092
A066,-0.4233792755092353,-0.07096202949204881,-0.7011254969140585,0.019749907560852684
A067,-1.1841365596963944,-0.36010855205936615,-1.4327329349142794,1.1897501092008282
A068,1.2876785239665713,-0.042499034978177974,1.2427392884793969,-1.1333348371413472
A069,-1.781807008247882,0.49032946253524734,-1.2806148318665296,0.08058043601324787
A070,0.024320948507470064,-1.932948159275083,0.01240084318807663,-1.740958652275676
A071,0.3554243690523543,-0.326279600915286,-0.18325480808429648,-0.3120562486967513
A072,0.9107464424035985,-0.9898098064604788,1.1959793158846947,0.034476198480879926
A073,-0.350476826211642,0.7074126500259211,-0.665175620300389,0.26577770020939034
A074,0.44871778560403286,0.13930603872655065,0.6914818339545953,0.6147165212515274
A075,-0.34139979321924857,0.9757353115629387,-0.5313804858426208,1.2799779489558247
A076,-1.2721532609906439,0.118463801998223,-1.3317036087746035,0.3721522441895008
A077,0.5374321191263198,0.4852262100940683,0.05548334609622298,0.9212336333893495
A078,-1.0423016624198256,-0.411131338655277,-1.2349333796234776,0.4087525643508579
A079,0.07762944923257747,0.23013155419112521,0.2123717803361538,0.4190672519107327
A080,0.38247374770271286,-1.005648063117573,0.7822702037604014,-0.6311722976357158
A081,0.48423956698776105,-0.5349275380043926,0.40427985632152913,-0.6940575074949027
A082,0.42383434070616355,-0.579698016505002,-0.29300182482600423,-0.1256057394435609
A083,0.4691264784270132,-0.13710846859652076,0.3688072139825618,0.6173256047473205
