correlation_pair,r_value,ci_lower,ci_upper,p_uncorrected,p_bonferroni,n_obs
RAVLT-FreeRecall,0.27825305753646323,0.10747584336281725,0.44260311170569905,0.005060912050558697,0.010121824101117394,100
RAVLT-Recognition,0.28428541007677377,0.11699226986045631,0.44471929282409367,0.004150294887131256,0.008300589774262512,100
