composite_ID,UID,test,TSVR_hours,log_TSVR,congruence,theta
A030_T1,A030,T1,1.0,0.6931471805599453,Common,-0.8224535
A030_T2,A030,T2,32.95,3.5248888540047054,Common,-0.33115563
A030_T3,A030,T3,71.93,4.289500076996142,Common,-0.67998
A030_T4,A030,T4,150.46,5.020321563685677,Common,-0.3367128
A031_T1,A031,T1,1.0,0.6931471805599453,Common,0.1292285
A031_T2,A031,T2,32.41,3.508855256368665,Common,-0.34716043
A031_T3,A031,T3,71.56,4.2844138058068815,Common,-0.6621143
A031_T4,A031,T4,143.85,4.975698724215359,Common,-1.2988788
A032_T1,A032,T1,1.0,0.6931471805599453,Common,-0.0055949315
A032_T2,A032,T2,57.18,4.063541653067055,Common,-0.5561194
A032_T3,A032,T3,80.16,4.396422514957614,Common,-0.5718979
A032_T4,A032,T4,144.51,4.980244812772187,Common,-0.6618451
A033_T1,A033,T1,1.0,0.6931471805599453,Common,-0.31801352
A033_T2,A033,T2,29.16,3.4065165431397553,Common,-0.74354756
A033_T3,A033,T3,72.6,4.298645025734831,Common,-0.052011214
A033_T4,A033,T4,168.33,5.131849473677249,Common,-0.54839104
A034_T1,A034,T1,1.0,0.6931471805599453,Common,0.03783027
A034_T2,A034,T2,26.08,3.298795448044074,Common,-0.15213856
A034_T3,A034,T3,74.28,4.3212144952771245,Common,-0.230957
A034_T4,A034,T4,145.38,4.986205980173081,Common,-0.7767418
A035_T1,A035,T1,1.0,0.6931471805599453,Common,-0.5325281
A035_T2,A035,T2,44.76,3.8234103470715426,Common,-0.24299261
A035_T3,A035,T3,79.98,4.394202210604015,Common,-0.6834231
A035_T4,A035,T4,152.47,5.033505108187003,Common,-0.9939388
A036_T1,A036,T1,1.0,0.6931471805599453,Common,-1.3105327
A036_T2,A036,T2,21.63,3.119276459645446,Common,-2.064597
A036_T3,A036,T3,71.47,4.28317268312119,Common,-1.7131463
A036_T4,A036,T4,143.85,4.975698724215359,Common,-2.1378753
A037_T1,A037,T1,1.0,0.6931471805599453,Common,0.007472314
A037_T2,A037,T2,23.7,3.2068032436339315,Common,-0.53165156
A037_T3,A037,T3,72.08,4.291554731509806,Common,-0.5074031
A037_T4,A037,T4,143.66,4.974386161421135,Common,-0.9301675
A038_T1,A038,T1,1.0,0.6931471805599453,Common,-0.33816978
A038_T2,A038,T2,71.85,4.288402532641213,Common,-0.2646415
A038_T3,A038,T3,72.86,4.3021714094244174,Common,-0.248844
A038_T4,A038,T4,152.89,5.0362380614757605,Common,-0.23528156
A039_T1,A039,T1,1.0,0.6931471805599453,Common,0.00368122
A039_T2,A039,T2,28.65,3.3894621254437345,Common,0.12142304
A039_T3,A039,T3,98.84,4.603568904621118,Common,-0.33180472
A039_T4,A039,T4,246.24,5.510359524791073,Common,-0.63025206
A040_T1,A040,T1,1.0,0.6931471805599453,Common,-0.5868498
A040_T2,A040,T2,26.26,3.3054204262683866,Common,-0.4266654
A040_T3,A040,T3,71.28,4.280547465724028,Common,-0.64312905
A040_T4,A040,T4,143.53,4.97348709846075,Common,-1.0253199
A041_T1,A041,T1,1.0,0.6931471805599453,Common,-0.011262022
A041_T2,A041,T2,31.78,3.4898185733156835,Common,-0.43365815
A041_T3,A041,T3,75.74,4.340423084818807,Common,-0.7289234
A041_T4,A041,T4,141.84,4.961725122726247,Common,-0.32529965
A042_T1,A042,T1,1.0,0.6931471805599453,Common,-0.8773168
A042_T2,A042,T2,28.93,3.3988613218646075,Common,-1.2028519
A042_T3,A042,T3,72.17,4.292785500895938,Common,-0.95208746
A042_T4,A042,T4,146.02,4.9905686319459415,Common,-1.2050726
A043_T1,A043,T1,1.0,0.6931471805599453,Common,0.118387975
A043_T2,A043,T2,25.62,3.2816628129669656,Common,0.10591272
A043_T3,A043,T3,64.94,4.188745237643585,Common,0.03926114
A043_T4,A043,T4,149.33,5.012832877639743,Common,-0.5611127
A044_T1,A044,T1,1.0,0.6931471805599453,Common,-1.2440951
A044_T2,A044,T2,47.66,3.8848573373553763,Common,-0.951117
A044_T3,A044,T3,91.63,4.5286130632659365,Common,-1.3186529
A044_T4,A044,T4,155.27,5.0515852804252095,Common,-1.8088057
A045_T1,A045,T1,1.0,0.6931471805599453,Common,-0.89089763
A045_T2,A045,T2,24.66,3.2449333591874905,Common,-0.6941181
A045_T3,A045,T3,72.23,4.2936051730729785,Common,-0.39737126
A045_T4,A045,T4,151.52,5.027295734989363,Common,-0.8157949
A046_T1,A046,T1,1.0,0.6931471805599453,Common,-0.81637424
A046_T2,A046,T2,24.32,3.2315945972759756,Common,-0.8059153
A046_T3,A046,T3,73.05,4.304740540713808,Common,-1.7744708
A046_T4,A046,T4,147.94,5.003543540282499,Common,-1.3104872
A047_T1,A047,T1,1.0,0.6931471805599453,Common,-0.8019907
A047_T2,A047,T2,23.46,3.1970391302590264,Common,-0.7163026
A047_T3,A047,T3,76.85,4.354783898280007,Common,-1.4842614
A047_T4,A047,T4,144.22,4.978249833952101,Common,-2.0999131
A048_T1,A048,T1,1.0,0.6931471805599453,Common,-0.5546749
A048_T2,A048,T2,23.91,3.215269329274089,Common,-0.55652565
A048_T3,A048,T3,81.15,4.408546844483277,Common,-0.61989933
A048_T4,A048,T4,146.3,4.9924713234685845,Common,-0.6042537
A049_T1,A049,T1,1.0,0.6931471805599453,Common,0.3639001
A049_T2,A049,T2,27.12,3.336481066942464,Common,-0.5598151
A049_T3,A049,T3,111.38,4.721885985684052,Common,-0.39832208
A049_T4,A049,T4,168.86,5.134974568351863,Common,-0.57364386
A050_T1,A050,T1,1.0,0.6931471805599453,Common,-0.34519252
