item_name,Difficulty,Overall_Discrimination,Discrim_Common,Discrim_Congruent,Discrim_Incongruent
TC_IRE-N-i4,0.09306279569864273,3.4168897,0.0,3.4168897,0.0
TC_IRE-N-i5,0.22635650634765625,2.8549323,0.0,0.0,2.8549323
TC_IRE-N-i6,0.21151655912399292,2.9228446,0.0,0.0,2.9228446
TC_IRE-O-i1,0.7460113167762756,3.4651937,3.4651937,0.0,0.0
TC_IRE-O-i2,0.8341627717018127,3.181945,3.181945,0.0,0.0
TC_IRE-O-i3,0.5800137519836426,3.330297,0.0,3.330297,0.0
TC_IRE-O-i4,1.127562403678894,1.9802549,0.0,1.9802549,0.0
TC_IRE-O-i5,0.8044285774230957,3.0451615,0.0,0.0,3.0451615
TC_IRE-O-i6,0.6486002206802368,4.316476,0.0,0.0,4.316476
TC_IRE-U-i1,0.3053659200668335,3.5265844,3.5265844,0.0,0.0
TC_IRE-U-i2,0.2593933939933777,3.5990527,3.5990527,0.0,0.0
TC_IRE-U-i3,0.3112213611602783,3.232391,0.0,3.232391,0.0
TC_IRE-U-i4,0.42221641540527344,2.7959976,0.0,2.7959976,0.0
TC_IRE-U-i5,0.17679089307785034,5.1164184,0.0,0.0,5.1164184
TC_IRE-U-i6,0.463283896446228,2.7732623,0.0,0.0,2.7732623
