composite_ID,theta_Common,theta_Congruent,theta_Incongruent
A046_T4,-1.3104872,-0.95856607,-1.1920718
A047_T1,-0.8019907,-0.9548815,-0.7959863
A047_T2,-0.7163026,-1.0065078,-0.8873212
A047_T3,-1.4842614,-1.5391096,-1.376297
A047_T4,-2.0999131,-2.1495159,-2.1332579
A048_T1,-0.5546749,-0.19813415,-0.32345942
A048_T2,-0.55652565,-0.5549686,-0.3432543
A048_T3,-0.61989933,-0.46417758,-0.42254457
A048_T4,-0.6042537,-0.6806327,-0.52645785
A049_T1,0.3639001,-0.17465958,-0.18802807
A049_T2,-0.5598151,-0.6474267,-0.7069902
A049_T3,-0.39832208,-0.4110826,-0.44969168
A049_T4,-0.57364386,-0.5789875,-0.6633692
A050_T1,-0.34519252,-0.5209842,-0.089978725
A050_T2,-0.38214108,-0.5617224,-0.30191365
A050_T3,-1.0932621,-1.1808335,-0.8611193
A050_T4,-1.1369693,-1.1403638,-1.2896639
A051_T1,-0.1427674,-0.08407257,0.020476077
A051_T2,-0.0180678,-0.4856679,-0.1636065
A051_T3,-0.75081813,-0.63248193,-0.6107395
A051_T4,-0.4435967,-0.8587024,-0.89807165
A052_T1,-0.34527895,-0.5042378,-0.5728144
A052_T2,-0.7431454,-0.8379309,-0.39787278
A052_T3,-0.986809,-0.8972691,-0.64240015
A052_T4,-0.28507993,-0.94306433,-1.0694574
A053_T1,-0.3031828,-0.29996118,-0.42603502
A053_T2,-1.2663192,-1.2839782,-1.2727063
A053_T3,-1.2928076,-1.3842938,-1.2868464
A053_T4,-1.3837078,-1.4897945,-1.3576578
A054_T1,0.055992164,0.09444084,0.031394873
A054_T2,-0.2749754,-0.3730993,-0.29419324
A054_T3,-0.23104689,-0.36002192,-0.28632435
A054_T4,0.0028328076,-0.14458951,-0.41480848
A055_T1,-0.37749407,-0.4736943,-0.1882998
A055_T2,-0.7459115,-1.0496894,-0.8686388
A055_T3,-0.9071342,-0.97376883,-0.877849
A055_T4,-1.0399915,-1.0992149,-0.98091286
A056_T1,-0.63183635,-0.6220468,-0.49368522
A056_T2,-1.0538106,-1.1734165,-0.8773912
A056_T3,-0.83451813,-0.8398435,-0.84830153
A056_T4,-1.1291757,-1.105815,-0.9444403
A057_T1,-0.3781515,-0.5315591,-0.49263832
A057_T2,-0.49861082,-0.6425531,-0.63649476
A057_T3,-0.8692454,-0.7727021,-0.8984092
A057_T4,-1.5926012,-1.3462685,-1.4809765
A058_T1,-0.50856215,-0.06978247,-0.2482607
A058_T2,-0.8705854,-0.5568702,-0.56847376
A058_T3,-0.49992105,-0.9820616,-0.68224305
A058_T4,-1.0911849,-1.2865587,-1.1240876
A059_T1,-0.58194417,-0.65087116,-0.68419844
A059_T2,-0.45171306,-0.5988289,-0.45652184
A059_T3,-0.76211786,-0.7128463,-0.83895016
A059_T4,-0.7820105,-0.50452334,-0.62567383
A060_T1,-0.667275,-0.6352643,-0.6108733
A060_T2,-0.1943874,-0.46538588,-0.63977915
A060_T3,-0.3353686,-0.36863157,-0.37033978
A060_T4,-0.26642832,-0.2586697,0.035987172
A061_T1,0.43646482,0.42744353,0.47176608
A061_T2,0.12845066,-0.11505816,0.35537174
A061_T3,-0.3274512,-0.44483218,-0.06768319
A061_T4,-0.120336734,-0.06864307,-0.36130425
A062_T1,-0.15240881,-0.41901883,-0.29270288
A062_T2,-0.84355515,-0.5168222,-0.97745013
A062_T3,-0.86031556,-0.8511534,-1.2640826
A062_T4,-1.4483544,-1.6347948,-1.6714348
A063_T1,-1.4412994,-1.2257007,-1.1518133
A063_T2,-1.9174238,-1.9498328,-1.8218434
A063_T3,-2.1332345,-2.1876566,-2.1684759
A063_T4,-2.163518,-2.1812868,-2.1889172
A064_T1,-0.07821866,-0.2256479,-0.537283
A064_T2,-0.6491142,-0.6712937,-0.34467342
A064_T3,-0.7719172,-0.69001305,-0.9794025
A064_T4,-0.382498,-0.8174312,-0.78879195
A065_T1,-0.31965527,-0.8023858,-0.7724373
A065_T2,-1.4710925,-1.47742,-1.4763712
A065_T3,-2.158764,-2.1425097,-2.1367605
A065_T4,-1.8860052,-1.92673,-1.8098259
A066_T1,-0.59106106,-0.62722766,-0.7509767
A066_T2,-0.4709755,-0.87749267,-0.6591092
A066_T3,-0.6867184,-0.8810084,-0.86113834
A066_T4,-1.4855847,-1.292959,-1.5548434
A067_T1,-0.44934604,-0.74222696,-0.61210716
A067_T2,-1.4495013,-1.5955667,-1.6650257
A067_T3,-1.3997421,-1.4157587,-1.209111
A067_T4,-1.5877099,-1.5238205,-1.6571437
A068_T1,-0.009209357,0.08864262,0.14993241
A068_T2,0.17079535,-0.027286865,-0.30318907
A068_T3,-0.15354642,-0.5590491,-0.35078928
A068_T4,-0.38507792,-0.6145663,-0.95137376
A069_T1,-0.66592807,-0.7786375,-0.99972296
A069_T2,-1.353698,-1.4929723,-1.3354367
A069_T3,-1.8940883,-1.9253145,-1.8094119
A069_T4,-1.294989,-1.3638343,-1.2892135
A070_T1,-0.2944568,-0.61520314,-0.24508521
A070_T2,-0.25809857,-0.66697836,-0.7332047
A070_T3,-1.2852252,-0.9628229,-1.2916116
A070_T4,-1.4394832,-1.3110158,-1.4137802
A071_T1,-0.10265418,-0.0753989,-0.2268866
A071_T2,-0.7990089,-0.76371276,-0.8071127
A071_T3,-0.95877886,-1.4472245,-1.2544826
A071_T4,-1.0993855,-0.91268885,-0.843498
A072_T1,-0.038571082,-0.081743576,-0.10490748
A072_T2,-0.11431464,-0.07983849,-0.34424362
A072_T3,-0.73253006,-0.69029844,-0.56688327
A072_T4,-0.8838689,-0.71735394,-0.7959677
A073_T1,-0.91594857,-0.99200296,-0.96217215
A073_T2,-1.3183289,-1.0689701,-0.78859955
A073_T3,-1.1100917,-0.98654234,-0.9387225
A073_T4,-1.4069734,-1.3599523,-0.90468615
A074_T1,-0.21407244,-0.28466484,-0.3296679
A074_T2,-0.7116513,-0.40041766,-0.62529624
A074_T3,-1.0905019,-0.7596034,-0.5061208
A074_T4,-0.96678317,-0.253108,-0.9738164
A075_T1,-0.6506318,-0.6456942,-0.48639724
A075_T2,-0.53351396,-0.33950672,-0.71723574
A075_T3,-1.6622175,-1.6862292,-1.7836758
A075_T4,-1.023917,-0.909927,-1.319403
A076_T1,-0.96524686,-0.6579325,-0.80320066
A076_T2,-0.9286484,-1.0034045,-1.0132136
A076_T3,-1.2137277,-1.0604956,-1.1902087
A076_T4,-1.6388084,-1.7780219,-1.6634787
A077_T1,0.01552061,-0.42527863,-0.21399245
A077_T2,-0.7729823,-0.73726034,-0.54259676
A077_T3,-0.64422625,-0.71382344,-0.95833313
A077_T4,-0.57616574,-0.44343802,-0.51547545
A078_T1,-1.0375516,-1.214495,-0.7938028
A078_T2,-0.8626594,-1.1077334,-1.0761757
A078_T3,-1.1755528,-1.073946,-1.071261
A078_T4,-1.6281742,-1.6203699,-1.7457494
A079_T1,-0.7502331,-0.57689977,-0.30228493
A079_T2,-0.41225544,-0.56506336,-0.44948527
A079_T3,-0.99254286,-0.978704,-0.6772029
A079_T4,-0.837205,-1.0114014,-1.0985535
A080_T1,-0.20710465,-0.22367474,-0.2586762
A080_T2,-0.35981783,0.042808913,-0.73342025
A080_T3,-0.68286556,-0.68026495,-0.7675509
A080_T4,-0.66473716,-1.2313398,-1.1284313
A081_T1,-0.5619618,-0.26199684,-0.18779948
A081_T2,-0.52070814,-0.5468718,-0.6515104
A081_T3,-0.54776675,-0.5486163,-0.5450578
A081_T4,-0.6759289,-0.81706226,-0.72592646
A082_T1,-0.43267933,-0.4850336,-0.3627695
A082_T2,-0.5221211,-0.5582478,-0.35558942
A082_T3,-0.71099526,-0.6535666,-0.6678751
A082_T4,-1.0763048,-1.0581679,-1.0080527
A083_T1,-0.014479123,-0.21359059,0.06917468
A083_T2,-0.52126294,-0.62575805,-0.5005044
A083_T3,-0.47261283,-0.5658332,-0.5248263
A083_T4,-0.62272316,-0.74166095,-0.6563601
A084_T1,-1.4468749,-1.5939623,-1.6880342
A084_T2,-1.4820385,-1.6448915,-1.7050725
A084_T3,-1.1448486,-1.3376124,-1.4752973
A084_T4,-1.8147483,-1.6691726,-1.8180279
A085_T1,-0.20767209,-0.35934076,-0.25322703
A085_T2,-0.15754423,-0.08712361,-0.051285114
A085_T3,-0.03752645,-0.028669454,-0.5206303
A085_T4,-0.75069934,-0.6092767,-0.7112023
A086_T1,-0.23173031,-0.08862386,-0.24168727
A086_T2,-0.2378132,-0.3029482,-0.21356437
A086_T3,-0.7805211,-0.8409809,-0.8695658
A086_T4,-0.72769994,-0.97679436,-0.948101
A087_T1,0.34658077,-0.10788176,-0.2495695
A087_T2,-0.23304829,-0.04656718,-0.5928209
A087_T3,-0.3063664,-0.6585634,-0.41294554
A087_T4,-0.25141045,-0.40756306,-0.4228107
A088_T1,-0.494729,-0.40557835,0.038772795
A088_T2,-0.30284712,0.055056594,-0.5595672
A088_T3,-0.28755614,-0.63450015,-0.4568952
A088_T4,-0.110589705,-0.38682672,-0.457571
A089_T1,-0.18898878,-0.07049463,-0.37461075
A089_T2,-0.20322582,-0.29431185,-0.3269426
A089_T3,-0.51160556,-0.7473493,-0.7743714
A089_T4,-0.3331053,-0.6835003,-0.7182575
A090_T1,-1.4588678,-1.6914111,-1.5773114
A090_T2,-1.2216866,-1.195745,-1.4217492
A090_T3,-2.1413026,-2.1781201,-2.1566374
A090_T4,-2.092507,-2.0843961,-2.1001172
A091_T1,-0.41365513,-0.55031276,-0.36085007
A091_T2,-0.6457824,-0.8841251,-0.55855125
A091_T3,-1.044027,-0.9775522,-1.0313951
A091_T4,-0.4834225,-0.6972327,-0.56721365
A092_T1,-0.4865041,-0.41445932,-0.30929092
A092_T2,-0.6829716,-0.30118236,-0.5869423
A092_T3,-0.6932575,-0.9470254,-0.7945996
A092_T4,-1.2855393,-1.2739966,-1.2581861
A093_T1,0.07188801,-0.06817005,-0.41255078
A093_T2,-1.811695,-1.8632587,-1.7216246
A093_T3,-2.0430598,-2.0866153,-2.0940337
A093_T4,-2.2185197,-2.2213724,-2.2197163
A094_T1,-0.8427903,-1.0112252,-1.0825739
A094_T2,-0.81286556,-0.9870256,-0.9966666
A094_T3,-1.3200886,-1.1354756,-1.1844912
A094_T4,-1.4055467,-0.9544078,-1.2865493
A095_T1,-0.2170119,-0.024247266,-0.28310606
A095_T2,-0.9589344,-0.721254,-0.77976364
A095_T3,-0.4706224,-0.7942337,-0.5331039
A095_T4,-0.90993446,-1.2345861,-1.0696086
A096_T1,-0.070533715,-0.20661184,-0.49105427
A096_T2,-0.7617069,-0.80869436,-1.049344
A096_T3,-0.88127846,-0.7626743,-0.54968363
A096_T4,-0.5452011,-0.30904737,-0.71193475
A097_T1,-0.9551622,-0.8790233,-0.92148834
A097_T2,-2.1401153,-2.1651065,-2.1513336
A097_T3,-1.8601369,-1.7478341,-1.8676814
A097_T4,-2.1153955,-2.1735213,-2.1491508
A098_T1,-0.38917515,-0.35906824,-0.14470002
A098_T2,-0.65940267,-0.48687717,-0.44689938
A098_T3,-0.13516614,-0.3499572,-0.11640778
A098_T4,-0.49834368,-0.38628742,-0.67287856
A099_T1,-0.29917094,-0.18638286,-0.3215426
A099_T2,-0.2963017,-0.3406038,-0.43596646
A099_T3,-0.35486338,-0.3553277,-0.29398897
A099_T4,0.11666683,0.30142847,-0.06822434
A100_T1,-0.9540482,-1.2097701,-1.0358081
A100_T2,-1.3237122,-1.4488215,-1.401959
A100_T3,-1.1919868,-1.0994493,-1.1671842
A100_T4,-2.1018343,-2.1398392,-2.1449933
A101_T1,-1.1153308,-1.1265265,-1.1010636
A101_T2,-1.1898901,-1.1315941,-1.083989
A101_T3,-2.1282306,-2.0969546,-2.0790195
A101_T4,-2.1334977,-2.1787288,-2.1523852
A102_T1,-0.48121974,-0.43713376,-0.7213907
A102_T2,-0.5941183,-0.35796842,-0.40891936
A102_T3,-0.8207819,-0.5616988,-0.76872945
A102_T4,-0.5272371,-0.7629243,-0.5590211
A103_T1,-1.668441,-1.7039993,-1.7772386
A103_T2,-2.1164997,-2.1579196,-2.1460185
A103_T3,-2.1317394,-2.1719053,-2.1680052
A103_T4,-2.18081,-2.18942,-2.1999805
A104_T1,0.04366163,-0.26988396,-0.14119264
A104_T2,-0.30752704,-0.25766358,-0.15916118
A104_T3,-0.82507277,-0.19847009,-0.32168227
A104_T4,-1.1661975,-1.3303095,-1.2358009
A105_T1,-0.055165254,0.2297031,0.26125625
A105_T2,-0.058977567,-0.32039043,-0.1223298
A105_T3,-0.5520616,-0.4996514,-0.7524541
A105_T4,-0.6148382,-1.1261294,-0.5490549
A106_T1,-0.19383547,-0.046082832,-0.15090606
A106_T2,-0.5906922,-0.6640357,-0.79716355
A106_T3,-0.36468503,-0.56607974,-0.5381836
A106_T4,-0.27456638,-0.45690808,-0.703649
A107_T1,-2.109039,-2.1714213,-2.157654
A107_T2,-2.4524813,-2.4772663,-2.466504
A107_T3,-1.7832304,-1.7988662,-1.5696312
A107_T4,-2.1526747,-2.1921937,-2.1838193
A108_T1,-0.79746133,-1.0084232,-0.5594646
A108_T2,-1.0200808,-1.2015507,-1.1320763
A108_T3,-0.98302615,-0.8950635,-1.1917108
A108_T4,-1.1786222,-1.0973197,-0.99121
A109_T1,-1.2263042,-1.2499689,-1.2951549
A109_T2,-1.6961541,-1.6596633,-1.6182135
A109_T3,-1.0792183,-1.0361038,-1.2191219
A109_T4,-2.1472244,-2.1999838,-2.209235
