time,probability,CI_lower,CI_upper,congruence,n
1.0,0.765620624318606,0.6955148994971078,0.8236770324571219,Common,100
28.769699999999997,0.5790611209122806,0.48006657459923513,0.6720819974216544,Common,100
78.6681,0.4395058762493802,0.345415056593038,0.5381554911035723,Common,100
151.3752,0.29217022412545507,0.2095795293053698,0.3911996533611051,Common,100
1.0,0.7436623610095301,0.6739638283903991,0.8028202616329362,Congruent,100
28.769699999999997,0.5388448715322472,0.4426904781599425,0.6321930064540814,Congruent,100
78.6681,0.40063977106047305,0.3176041903947962,0.4898023452907441,Congruent,100
151.3752,0.2751790537776568,0.20136551135427222,0.3637271071234603,Congruent,100
1.0,0.7659770931187119,0.693084809708684,0.825906003559445,Incongruent,100
28.769699999999997,0.5531826936586717,0.4478101695281355,0.6539843686545252,Incongruent,100
78.6681,0.39066653309755545,0.29986248007781163,0.4897339722143192,Incongruent,100
151.3752,0.23500080004362123,0.16541839174916917,0.32254091146595676,Incongruent,100
