term,estimate,se,z_value,p_value
Intercept,-0.09545848813042189,0.07924324357281709,-1.2046262094597946,0.22834763400126112
TSVR_hours,0.00146180571915488,0.0007266240048480614,2.0117773558286816,0.0442434119769214
Age_c,0.0015795597295336977,0.0054536059094243096,0.28963584017027705,0.7720948451890323
TSVR_hours:Age_c,1.7013798479720082e-05,5.028468433514393e-05,0.3383495134686398,0.7350998152041606
