model_name,re_formula,llf,n_params,AIC,BIC,converged,var_intercept,var_slope,cov_intercept_slope,delta_AIC,delta_BIC,preferred
Intercepts Only,~1,-526.7506385158315,5,1063.501277031663,1083.458599767203,True,0.28953604802218,,,0.0,0.0,False
Random Slopes,~TSVR_hours,-524.9873490527477,7,1063.9746981054955,1091.9149499352513,True,0.3487596855148587,1.5365246646900996e-05,-0.0008483973080641798,0.4734210738324691,8.456350168048402,False
