term,estimate,se,z_value,p_value
Intercept,-0.09509436945776976,0.07768865576295579,-1.2240444698634305,0.22093545227133304
TSVR_hours,0.0014658862600416135,0.0006433614935662079,2.2784799443250483,0.022697998086157127
Age_c,0.001541812425104104,0.00534856109113242,0.28826676910549504,0.7731425423781914
TSVR_hours:Age_c,1.896855242463911e-05,4.470204908581472e-05,0.424332951454308,0.6713230111813111
