term,estimate,se,z_value,p_value,p_uncorrected,p_bonferroni,sig_uncorrected,sig_bonferroni
Age_c,0.001541812425104104,0.00534856109113242,0.28826676910549504,0.7731425423781914,0.7731425423781914,1.0,False,False
TSVR_hours:Age_c,1.896855242463911e-05,4.470204908581472e-05,0.424332951454308,0.6713230111813111,0.6713230111813111,1.0,False,False
