term,estimate,se,z_value,p_uncorrected,p_bonferroni,sig_uncorrected,sig_bonferroni
Age_c,0.0015795597295336977,0.0054536059094243096,0.28963584017027705,0.7720948451890323,1.0,False,False
TSVR_hours:Age_c,1.7013798479720082e-05,5.028468433514393e-05,0.3383495134686398,0.7350998152041606,1.0,False,False
