model_name,AIC,BIC,log_likelihood,n_params,converged,delta_AIC,akaike_weight,cumulative_weight,relative_likelihood,is_best
Exp+Log,1077.2750971024516,1105.2153489322077,-531.6375485512258,6.0,False,8.294130494419733,0.0034331868948774278,0.9919721112768606,0.01581074910425592,False
Lin+Log,1077.2750971024516,1105.2153489322077,-531.6375485512258,6.0,False,8.294130494419733,0.0034331868948774278,0.995405298171738,0.01581074910425592,False
Sin,1078.092457291801,1102.041244574449,-533.0462286459006,5.0,False,9.111490683769262,0.002281444646052286,0.9976867428177902,0.010506666254552526,False
Ultimate,1078.130773040968,1122.0368830591558,-528.065386520484,10.0,False,9.149806432936202,0.002238153027435136,0.9999248958452254,0.010307296706307372,False
Exp_fast,1086.633872690409,1110.5826599730565,-537.3169363452043,5.0,False,17.652906082377058,3.1876097641067416e-05,0.9999567719428664,0.00014679800362096926,False
Quadratic_pure,1086.633872690409,1110.5826599730565,-537.3169363452043,5.0,False,17.652906082377058,3.1876097641067416e-05,0.9999886480405076,0.00014679800362096926,False
Quadratic,1089.3842654829486,1117.3245173127043,-537.6921327414743,6.0,False,20.4032988749168,8.057956935301347e-06,0.9999967059974428,3.710905910396034e-05,False
Tanh,1091.737597297617,1115.6863845802648,-539.8687986488085,5.0,False,22.75663068958511,2.484307963074283e-06,0.999999190305406,1.1440906395302694e-05,False
Sinh,1094.5972028098477,1118.5459900924957,-541.2986014049238,5.0,False,25.61623620181581,5.946343375851665e-07,0.9999997849397436,2.7384510684118004e-06,False
Cubic_pure,1096.6317026340405,1120.580489916688,-542.3158513170201,5.0,False,27.650736026008644,2.1501262468099435e-07,0.9999999999523682,9.90190970421992e-07,False
Arctanh,1114.5474002513274,1138.4961875339752,-551.2737001256637,5.0,False,45.56643364329557,2.7677040763159142e-11,0.9999999999800452,1.274602172423229e-10,False
Cos,1115.7194672286405,1139.6682545112883,-551.8597336143202,5.0,False,46.73850062060865,1.5403114473827725e-11,0.9999999999954484,7.093548525808345e-11,False
Linear,1119.5440096434077,1143.4927969260557,-553.7720048217038,5.0,False,50.56304303537581,2.2757246295012872e-12,0.9999999999977242,1.0480324039773898e-11,False
Exponential_proxy,1119.5440096434077,1143.4927969260557,-553.7720048217038,5.0,False,50.56304303537581,2.2757246295012872e-12,1.0,1.0480324039773898e-11,False
