composite_ID,UID,test,TSVR_hours,ma_theta,ma_theta_se
A051_T2,A051,T2,17.16,-0.5144036109457635,0.059881451372301685
A051_T3,A051,T3,65.63,-0.7287270901479507,0.0394741535342729
A051_T4,A051,T4,146.99,-0.7294918732265191,0.1523278339388086
A052_T1,A052,T1,1.0,-0.35952440264819746,0.054074393216403005
A052_T2,A052,T2,31.76,-0.601354841478848,0.033932237547750876
A052_T3,A052,T3,80.98,-0.7583381767632451,0.04405135760281903
A052_T4,A052,T4,153.27,-0.7203981370504233,0.17993474323212666
A053_T1,A053,T1,1.0,-0.35952440264819746,0.054074393216403005
A053_T2,A053,T2,32.71,-0.6061866821643813,0.03207075604654225
A053_T3,A053,T3,78.28,-0.7543619991891771,0.04470193525489231
A053_T4,A053,T4,148.9,-0.7267123931446774,0.1607729245868659
A054_T1,A054,T1,1.0,-0.35952440264819746,0.054074393216403005
A054_T2,A054,T2,16.9,-0.5125827039112048,0.060208723065954484
A054_T3,A054,T3,72.83,-0.7447426968706912,0.04405164917441614
A054_T4,A054,T4,136.83,-0.7439774422053429,0.10755876906505905
A055_T1,A055,T1,1.0,-0.35952440264819746,0.054074393216403005
A055_T2,A055,T2,23.24,-0.5538858981238052,0.050404199837395317
A055_T3,A055,T3,74.48,-0.7478813178325967,0.044518685451481445
A055_T4,A055,T4,149.21,-0.7262617140501868,0.1621407768070527
A056_T1,A056,T1,1.0,-0.35952440264819746,0.054074393216403005
A056_T2,A056,T2,33.61,-0.6106873108138616,0.030333541099021696
A056_T3,A056,T3,71.46,-0.7419865375485734,0.043491804065922554
A056_T4,A056,T4,147.84,-0.7282546609708355,0.15608927625594515
A057_T1,A057,T1,1.0,-0.35952440264819746,0.054074393216403005
A057_T2,A057,T2,24.78,-0.5630690030316514,0.04758703725161973
A057_T3,A057,T3,73.83,-0.7466684429384371,0.044362109242629684
A057_T4,A057,T4,145.06,-0.7322975631253689,0.1437772491198999
A058_T1,A058,T1,1.0,-0.35952440264819746,0.054074393216403005
A058_T2,A058,T2,22.96,-0.5521841424724132,0.05090252959286845
A058_T3,A058,T3,66.28,-0.7303285343423391,0.04004535636134637
A058_T4,A058,T4,143.48,-0.7345847950860357,0.13677750877062483
A059_T1,A059,T1,1.0,-0.35952440264819746,0.054074393216403005
A059_T2,A059,T2,30.4,-0.594288551998531,0.03662578909734811
A059_T3,A059,T3,79.78,-0.7566350563042237,0.04442191094008212
A059_T4,A059,T4,151.93,-0.7223227093352653,0.17409133535566454
A060_T1,A060,T1,1.0,-0.35952440264819746,0.054074393216403005
A060_T2,A060,T2,24.87,-0.563596696458943,0.04741878612086396
A060_T3,A060,T3,94.68,-0.7707199553660387,0.030426035046701157
A060_T4,A060,T4,143.91,-0.7339635614240128,0.13868182326433
A061_T1,A061,T1,1.0,-0.35952440264819746,0.054074393216403005
A061_T2,A061,T2,35.16,-0.6182675411801251,0.02743285197356859
A061_T3,A061,T3,82.55,-0.7604125331579397,0.04336794941717722
A061_T4,A061,T4,146.56,-0.7301176025671827,0.15042361457323464
A062_T1,A062,T1,1.0,-0.35952440264819746,0.054074393216403005
A062_T2,A062,T2,44.69,-0.6604462753644497,0.016982307545068548
A062_T3,A062,T3,92.72,-0.769722023939925,0.03342798977158946
A062_T4,A062,T4,149.18,-0.7263053182192108,0.16200844631863556
A063_T1,A063,T1,1.0,-0.35952440264819746,0.054074393216403005
A063_T2,A063,T2,21.98,-0.5461467625275752,0.05260826708184364
A063_T3,A063,T3,69.99,-0.7388772734137629,0.042722482880761095
A063_T4,A063,T4,141.09,-0.7380141058143862,0.1262138658905862
A064_T1,A064,T1,1.0,-0.35952440264819746,0.054074393216403005
A064_T2,A064,T2,37.65,-0.6300072618382618,0.023164267855469465
A064_T3,A064,T3,82.99,-0.7609627363496251,0.04313579840747424
A064_T4,A064,T4,156.21,-0.716233934857439,0.19261618253351734
A065_T1,A065,T1,1.0,-0.35952440264819746,0.054074393216403005
A065_T2,A065,T2,32.31,-0.6041624929235175,0.032851690584207886
A065_T3,A065,T3,106.41,-0.7717244483101393,0.007336918796797401
A065_T4,A065,T4,187.43,-0.6853347417207398,0.300803612497284
A066_T1,A066,T1,1.0,-0.35952440264819746,0.054074393216403005
A066_T2,A066,T2,23.35,-0.55455168361039,0.050207174409794345
A066_T3,A066,T3,73.79,-0.7465928051445431,0.0443513038912984
A066_T4,A066,T4,164.93,-0.704667412146834,0.22855720810121244
A067_T1,A067,T1,1.0,-0.35952440264819746,0.054074393216403005
A067_T2,A067,T2,29.91,-0.5916984657963286,0.037599789011869084
A067_T3,A067,T3,73.19,-0.7454443212533272,0.04417306020649395
A067_T4,A067,T4,144.19,-0.7335584951468027,0.13992218939871234
A068_T1,A068,T1,1.0,-0.35952440264819746,0.054074393216403005
A068_T2,A068,T2,30.49,-0.594761709383631,0.03644697707762125
