UID,ma_intercept,ma_slope
A010,0.09463739977532006,0.03655686048000075
A011,0.02672500419856996,0.10971470648124738
A012,0.04565715872595311,-0.008903207187633067
A013,-0.11193125472256105,-0.05294092768395122
A014,0.17746338722615546,0.07301412316974386
A015,0.4010668667021693,0.11828804118276814
A016,-0.21294165251030583,-0.019281383867793784
A017,0.7174626118683026,0.0874484858386056
A018,0.22662850813563112,0.05786735696758437
A019,-0.8132233471667396,-0.1680657778185335
A020,-0.1042324204987138,0.04862853940512579
A021,0.231352434285158,-0.007993626153854698
A022,-0.47636073113523114,-0.17483334338370982
A023,0.1433651923621669,-0.03389873089825031
A024,-0.0007432652365952405,-0.04829589690425756
A025,-0.21287993605017372,0.022942253301996295
A026,0.15285625563016453,-0.018592304035504853
A027,-0.05232148002645613,0.04146271454590808
A028,0.220301532223783,0.11045472840928104
A029,0.3658387299288124,0.12675348057369584
A030,0.08815751692464113,-0.029148745119605707
A031,0.10019077951467689,0.15233942589527896
A032,0.09801015644608048,0.018173362189920748
A033,0.14550796767564775,-0.012909974391365589
A034,0.4418328207448089,0.13700080202840104
A035,-0.005207152982755132,-0.0015487110414103948
A036,-0.7215139528607595,-0.2222872643622206
A037,0.16236943086707967,0.07502161662130034
A038,0.3208164887764197,0.04266752437628521
A039,0.5231492810491967,0.12767715401808127
A040,0.04459817198309226,-0.05936633517837031
A041,0.3237631743070519,0.08328438991321993
A042,-0.2824890346206763,-0.13547906574286167
A043,0.6011395175288052,0.22135446801338943
A044,-0.5751968494356462,-0.1941152825121717
A045,-0.22064759671657885,-0.1358626878563709
A046,-0.5860764874516675,-0.09528384466349636
A047,-0.518417474037692,-0.05987002080129859
A048,0.12467829101567117,0.007670807695725266
A049,0.2591028177610518,0.041107899839421064
A050,-0.004245260468546079,0.013147875486389947
A051,0.16979366705110044,0.06928741534470165
A052,-0.138759294341705,-0.0450469111441128
A053,-0.4804186692776625,-0.03442006525354539
A054,0.45418378514300123,0.08401971225455986
A055,-0.2183400449244899,0.000688560848914725
A056,-0.20245645914949897,-0.12593335846031747
A057,0.057067997317964594,-0.03682073061218079
A058,-0.06162906129776984,0.042615574177775534
A059,-0.03411713362879391,-0.04285657634824127
A060,0.18762172839750096,-0.0565596175169267
A061,0.6439033895520574,0.20000905211828948
A062,-0.005264495925879107,0.03047296016269049
A063,-0.7604533720520722,-0.295274436836214
A064,0.16216510607786147,0.05790533886215613
A065,-0.11965094616516996,-0.13791981814539186
A066,-0.15291710731643193,-0.033827275371475105
A067,-0.2043947246956878,-0.07402441816702174
A068,0.3895143305700716,0.09500632918318146
A069,-0.22887768274424355,-0.1026160118615616
A070,-0.07914892739305303,0.008429463538842764
A071,-0.2779301466215077,-0.0220018130937449
A072,0.25256999263059426,0.09460673031082213
A073,-0.20875157724348625,-0.08548964642642938
A074,0.024523587667992848,0.05216275392667419
A075,-0.003582479058279792,-0.03856455613723021
A076,-0.3426724915826298,-0.1409816907346537
A077,0.1048484058744404,0.024837261754303754
A078,-0.37191192824900177,-0.14297509245038761
A079,0.12287567340843156,-0.02397982879569838
A080,0.006031799602712859,0.07377965727317744
A081,0.17331149142264865,0.023057743544574395
A082,0.07172669366068593,0.03689599225688884
A083,0.23105469317764205,0.06774186652461453
A084,-0.5161735845951118,-0.16521719714642863
A085,0.28016424719629046,0.004467791097915876
A086,0.14585203477838438,0.04564636381278519
A087,0.29588388615946154,0.04633979940777719
A088,0.24074909978975673,0.0242158448570106
A089,0.1414822380988295,0.055908761355490624
A090,-0.39828171527001793,-0.2287053706688902
A091,0.004906747410511143,-0.01850351681123614
A092,-0.1350584732587009,-0.008521031158832794
A093,-0.32736102727763183,0.03428272462958121
A094,-0.3565021260519435,-0.10975581475588157
A095,0.017320673567775592,0.05172758295946921
A096,-0.27303526497354413,-0.04556942795630949
A097,-0.461235484951416,-0.14513762013080272
A098,0.2085521333448041,0.008165997069549501
A099,0.4557636251413261,0.020484556201038208
A100,-0.20430147702421284,-0.03448525849561664
A101,-0.30510216345357977,-0.21383858368942293
A102,-0.03056456614238761,-0.028854090373694234
A103,-0.06065590615990609,-0.18008751264729078
A104,0.27417461949495253,0.08071391273583078
A105,0.2189338848812361,0.1556102836225687
A106,0.1822836325187111,0.009755091873329725
A107,-0.5133148410025661,-0.13134494434164146
A108,-0.41647663649522315,-0.11225377311736588
A109,-0.5729024256669747,-0.16865169003449856
