Name,Label,Function,Type,Regex
i_n_glasses_6_p1_sink_bat_a,i_n_glasses_6_p1_sink_bat_a,mean,vr,.*BAT.*-N-.*-n6.*-ANS
i_n_alarm_1_bed_p4_bed_a,i_n_alarm_1_bed_p4_bed_a,mean,vr,.*BED.*-N-.*-n1.*-ANS
i_n_magazine_2_dresser_bed_bed_a,i_n_magazine_2_dresser_bed_bed_a,mean,vr,.*BED.*-N-.*-n2.*-ANS
i_n_picture_3_p1_dresser_bed_a,i_n_picture_3_p1_dresser_bed_a,mean,vr,.*BED.*-N-.*-n3.*-ANS
i_n_frypan_4_bookshelf_wardrobe_bed_a,i_n_frypan_4_bookshelf_wardrobe_bed_a,mean,vr,.*BED.*-N-.*-n4.*-ANS
i_n_phone_5_p4_p2_bed_a,i_n_phone_5_p4_p2_bed_a,mean,vr,.*BED.*-N-.*-n5.*-ANS
i_n_knife_6_p3_bookshelf_bed_a,i_n_knife_6_p3_bookshelf_bed_a,mean,vr,.*BED.*-N-.*-n6.*-ANS
i_n_letters_1_p2_fridge_kit_a,i_n_letters_1_p2_fridge_kit_a,mean,vr,.*KIT.*-N-.*-n1.*-ANS
i_n_cutlery_2_oven_p2_kit_a,i_n_cutlery_2_oven_p2_kit_a,mean,vr,.*KIT.*-N-.*-n2.*-ANS
i_n_toaster_3_p4_oven_kit_a,i_n_toaster_3_p4_oven_kit_a,mean,vr,.*KIT.*-N-.*-n3.*-ANS
i_n_oil_4_p1_p3_kit_a,i_n_oil_4_p1_p3_kit_a,mean,vr,.*KIT.*-N-.*-n4.*-ANS
i_n_keys_5_bench_pantry_kit_a,i_n_keys_5_bench_pantry_kit_a,mean,vr,.*KIT.*-N-.*-n5.*-ANS
i_n_tpaper_6_pantry_bench_kit_a,i_n_tpaper_6_pantry_bench_kit_a,mean,vr,.*KIT.*-N-.*-n6.*-ANS
i_n_drill_1_couch_bookcase_liv_a,i_n_drill_1_couch_bookcase_liv_a,mean,vr,.*LIV.*-N-.*-n1.*-ANS
i_n_mask_2_p4_p1_liv_a,i_n_mask_2_p4_p1_liv_a,mean,vr,.*LIV.*-N-.*-n2.*-ANS
i_n_lamp_3_p2_couch_liv_a,i_n_lamp_3_p2_couch_liv_a,mean,vr,.*LIV.*-N-.*-n3.*-ANS
i_n_handbag_4_tv_p2_liv_a,i_n_handbag_4_tv_p2_liv_a,mean,vr,.*LIV.*-N-.*-n4.*-ANS
i_n_laptop_5_chair_tv_liv_a,i_n_laptop_5_chair_tv_liv_a,mean,vr,.*LIV.*-N-.*-n5.*-ANS
i_n_newspaper_6_p3_chair_liv_a,i_n_newspaper_6_p3_chair_liv_a,mean,vr,.*LIV.*-N-.*-n6.*-ANS
i_u_duck_1_bath_shower_bat_a,i_u_duck_1_bath_shower_bat_a,mean,vr,.*BAT.*-U-.*-n1.*-ANS
i_u_remote_2_p2_bath_bat_a,i_u_remote_2_p2_bath_bat_a,mean,vr,.*BAT.*-U-.*-n2.*-ANS
i_u_tbrushes_3_p3_p4_bat_a,i_u_tbrushes_3_p3_p4_bat_a,mean,vr,.*BAT.*-U-.*-n3.*-ANS
i_u_book_4_toilet_p3_bat_a,i_u_book_4_toilet_p3_bat_a,mean,vr,.*BAT.*-U-.*-n4.*-ANS
i_u_hammer_5_sink_toilet_bat_a,i_u_hammer_5_sink_toilet_bat_a,mean,vr,.*BAT.*-U-.*-n5.*-ANS
i_u_glasses_6_p1_sink_bat_a,i_u_glasses_6_p1_sink_bat_a,mean,vr,.*BAT.*-U-.*-n6.*-ANS
i_u_alarm_1_bed_p4_bed_a,i_u_alarm_1_bed_p4_bed_a,mean,vr,.*BED.*-U-.*-n1.*-ANS
