domain,early_slope,late_slope,consolidation_benefit,benefit_se,benefit_CI_lower,benefit_CI_upper,rank
when,-0.3014424303618727,-0.0055584886307126,-0.29588394173116006,0.07640111131827665,-0.4456301199149823,-0.14613776354733782,1
where,-0.4222035231845603,-0.0823849343182579,-0.3398185888663024,0.07640111131827694,-0.4895647670501252,-0.1900724106824796,2
what,-0.4454573597835627,-0.0685731020496124,-0.3768842577339503,0.07640111131827777,-0.5266304359177747,-0.22713807955012585,3
