test,N_total,N_overconfident,proportion_overconfident,CI_lower,CI_upper
T1,100,40,0.4,0.3094012864324589,0.4979974132089382
T2,100,41,0.41,0.3186731302113651,0.5079856994658921
T3,100,40,0.4,0.3094012864324589,0.4979974132089382
T4,100,42,0.42,0.3279838267435473,0.5179351329695703
