test,N,mean_calibration,SD_calibration,SE_calibration,CI_lower,CI_upper
T1,100,-0.01979527077114156,0.42218233731778915,0.042218233731778916,-0.10254300888542824,0.06295246734314512
T2,100,-0.011194708922816715,0.4556712354836059,0.04556712354836059,-0.10050627107760346,0.07811685323197004
T3,100,0.004961677496611237,0.44156399894375165,0.04415639989437516,-0.08158486629636408,0.09150822128958655
T4,100,0.026028302197346854,0.42055396319911165,0.04205539631991116,-0.05640027458967903,0.10845687898437273
