test,time_numeric,proportion_overconfident,prop_CI_lower,prop_CI_upper,mean_calibration,mean_CI_lower,mean_CI_upper
T1,0,0.41,0.3186731302113651,0.5079856994658921,-0.115988404184242,-0.2904385706059515,0.0584617622374675
T2,1,0.48,0.384645517580519,0.5768342223477603,-0.0341113990404565,-0.2217846705821972,0.1535618725012841
T3,3,0.47,0.3751081795934127,0.5671114302990063,0.0387832269340699,-0.1448313436938414,0.2223977975619812
T4,6,0.51,0.4134801193402717,0.6057800106955886,0.1113165762906285,-0.0641272750967158,0.2867604276779728
