comparison,ICC_slope_diff_simple,ICC_slope_diff_conditional,direction
IFR - ICR,-0.00898223322430023,-0.026195838862512533,ICR higher
IFR - IRE,0.007381615799005627,0.08287363653539634,IFR higher
ICR - IRE,0.016363849023305857,0.10906947539790887,ICR higher
