time_bin,LocationType,mean_theta,SD_theta,SE_theta,n
"[0, 1) days",source,0.42974697711290333,0.7754519710331529,0.06963764273233367,124
"[0, 1) days",destination,0.35520953334677413,0.8796154020549289,0.07899179497673928,124
"[1, 3) days",source,0.012061408340000006,0.8321532282913339,0.08321532282913338,100
"[1, 3) days",destination,-0.049512755746,0.7809357468753738,0.07809357468753739,100
"[3, 6) days",source,-0.16269053053125002,0.858974499463791,0.08766871773953629,96
"[3, 6) days",destination,-0.1206432051510417,0.7671953152207078,0.07830154397268463,96
[6+] days,source,-0.5504502268605,0.8163809649539053,0.09127416665869029,80
[6+] days,destination,-0.3144589295625,0.8364425629292657,0.09351712149919918,80
