composite_ID,theta_source,theta_destination,se_source,se_destination
A040_4,-0.8605421,-1.1177351,0.5,0.5
A041_1,1.085921,0.2817592,0.5,0.5
A041_2,-1.0964279,-0.69452095,0.5,0.5
A041_3,-0.10368296,1.0087159,0.5,0.5
A041_4,0.55604047,-0.53449714,0.5,0.5
A042_1,-0.73253614,-0.95389044,0.5,0.5
A042_2,-1.347808,-0.3430786,0.5,0.5
A042_3,-0.69679284,0.087088645,0.5,0.5
A042_4,-1.4243762,-0.9307917,0.5,0.5
A043_1,0.38918123,0.7459941,0.5,0.5
A043_2,0.42244467,0.23500974,0.5,0.5
A043_3,-0.3083771,0.4698506,0.5,0.5
A043_4,-0.09110191,0.048743665,0.5,0.5
A044_1,-0.931087,0.98554295,0.5,0.5
A044_2,-0.10138068,0.35538843,0.5,0.5
A044_3,-1.4176146,-1.4284785,0.5,0.5
A044_4,-1.4225442,-1.1791446,0.5,0.5
A045_1,-0.72337794,0.11215298,0.5,0.5
A045_2,-0.71070373,-0.60453594,0.5,0.5
A045_3,-0.92465687,-0.57517415,0.5,0.5
A045_4,-0.47338516,-0.6431378,0.5,0.5
A046_1,-0.73696804,-1.1019914,0.5,0.5
A046_2,-1.524923,-1.2816705,0.5,0.5
A046_3,-1.6154169,-1.168264,0.5,0.5
A046_4,-0.8297869,-0.61300504,0.5,0.5
A047_1,-0.2630411,-0.47270656,0.5,0.5
A047_2,-0.08885454,0.07527778,0.5,0.5
A047_3,-1.2931772,0.14330623,0.5,0.5
A047_4,-1.5719998,0.52011126,0.5,0.5
A048_1,1.0261309,1.8068985,0.5,0.5
A048_2,0.2245945,-0.32588872,0.5,0.5
A048_3,-0.09986894,0.5294694,0.5,0.5
A048_4,-0.047569595,-0.32352263,0.5,0.5
A049_1,1.628672,0.6893137,0.5,0.5
A049_2,-1.2029359,-0.19329694,0.5,0.5
A049_3,0.7503262,0.6570283,0.5,0.5
A049_4,0.10018365,1.7543672,0.5,0.5
A050_1,-0.009817374,-0.78732526,0.5,0.5
A050_2,-0.8308533,-0.039641477,0.5,0.5
A050_3,-0.91882885,-0.24156812,0.5,0.5
A050_4,-0.08620609,1.0503494,0.5,0.5
A051_1,0.9375949,2.074616,0.5,0.5
A051_2,-0.2418823,0.10007262,0.5,0.5
A051_3,-0.6612509,0.21628909,0.5,0.5
A051_4,-0.06661786,0.15427354,0.5,0.5
A052_1,0.5465678,-0.569104,0.5,0.5
A052_2,-0.32314909,0.82933825,0.5,0.5
A052_3,0.28532296,-0.43653107,0.5,0.5
A052_4,-0.7262602,-0.0393695,0.5,0.5
A053_1,0.61285675,0.7775262,0.5,0.5
A053_2,0.6908248,0.1481295,0.5,0.5
A053_3,-0.87289464,0.0055298805,0.5,0.5
A053_4,-0.49189186,-0.12900361,0.5,0.5
A054_1,-0.10204983,0.5879738,0.5,0.5
A054_2,1.0966705,-0.088113114,0.5,0.5
A054_3,0.9135628,-0.28344586,0.5,0.5
A054_4,1.1728728,0.2697689,0.5,0.5
A055_1,-0.11819313,-0.25811952,0.5,0.5
A055_2,0.6593112,0.66555786,0.5,0.5
A055_3,-1.0083954,1.1119791,0.5,0.5
A055_4,-1.7716202,0.041555434,0.5,0.5
A056_1,1.1733193,0.74640423,0.5,0.5
A056_2,-0.25787663,-1.3407233,0.5,0.5
A056_3,0.19984083,-0.96160394,0.5,0.5
A056_4,-1.6880448,-0.6580776,0.5,0.5
A057_1,0.26597437,-0.9788524,0.5,0.5
A057_2,-1.5030736,-0.34212014,0.5,0.5
A057_3,-0.49841014,-0.94718015,0.5,0.5
A057_4,-1.6882595,-0.11500207,0.5,0.5
A058_1,1.3958939,1.9026009,0.5,0.5
A058_2,-0.7525928,-0.15372773,0.5,0.5
A058_3,0.019965231,0.56598663,0.5,0.5
A058_4,-0.4705928,-1.4315125,0.5,0.5
A059_1,0.77775645,1.4979339,0.5,0.5
A059_2,0.8466781,-0.054054726,0.5,0.5
A059_3,1.1726226,2.1931627,0.5,0.5
A059_4,1.4049748,-1.0641034,0.5,0.5
A060_1,-0.5542918,-0.6066181,0.5,0.5
A060_2,0.9303409,0.27440274,0.5,0.5
A060_3,-0.22979185,0.27933294,0.5,0.5
A060_4,0.5148364,-0.45009914,0.5,0.5
A061_1,1.4514033,1.9128711,0.5,0.5
A061_2,0.64185774,0.9991678,0.5,0.5
A061_3,0.4928585,1.8269081,0.5,0.5
A061_4,-0.5863995,0.7323538,0.5,0.5
A062_1,0.6549794,0.53729564,0.5,0.5
A062_2,-0.16725098,0.97075593,0.5,0.5
A062_3,-0.45586523,-1.0675069,0.5,0.5
A062_4,-1.405543,-0.7282894,0.5,0.5
A063_1,0.7391236,0.4409071,0.5,0.5
A063_2,1.0042152,0.86713916,0.5,0.5
A063_3,0.38045648,-1.4395531,0.5,0.5
A063_4,-0.8421556,-0.95709497,0.5,0.5
A064_1,0.59662765,0.38653257,0.5,0.5
A064_2,0.76872313,0.046217628,0.5,0.5
A064_3,-0.10413311,0.5297573,0.5,0.5
A064_4,-1.27261,-0.7833835,0.5,0.5
A065_1,-1.3013191,-1.0349518,0.5,0.5
A065_2,-0.34596384,0.0295887,0.5,0.5
A065_3,-1.372738,0.083362326,0.5,0.5
A065_4,-1.6371088,-1.3012377,0.5,0.5
A066_1,0.16229463,0.12224607,0.5,0.5
A066_2,-0.57932127,-0.49271956,0.5,0.5
A066_3,-0.7972933,-1.050934,0.5,0.5
A066_4,-1.6448519,-1.5231326,0.5,0.5
A067_1,0.57185596,-0.16796723,0.5,0.5
A067_2,-1.4705437,-0.53244,0.5,0.5
A067_3,-1.4817185,-0.8267606,0.5,0.5
A067_4,-1.8485239,-1.1060808,0.5,0.5
A068_1,0.80332613,1.6448348,0.5,0.5
A068_2,-0.2173003,-0.38569757,0.5,0.5
A068_3,1.2649376,-0.7223525,0.5,0.5
A068_4,-0.48391524,-0.44507843,0.5,0.5
A069_1,-1.2999883,0.008552221,0.5,0.5
A069_2,-1.1146151,-0.39948443,0.5,0.5
A069_3,-0.5169879,-0.4765048,0.5,0.5
A069_4,-1.5753974,-0.94588786,0.5,0.5
A070_1,-0.021486543,-0.39159244,0.5,0.5
A070_2,0.08760651,-0.5714009,0.5,0.5
A070_3,-0.9004179,-0.5065981,0.5,0.5
A070_4,-1.3462481,-1.2076958,0.5,0.5
A071_1,0.5504542,-0.03938171,0.5,0.5
A071_2,0.67033637,-0.504907,0.5,0.5
A071_3,-0.44938245,-1.1508354,0.5,0.5
A071_4,0.38129205,-0.23766193,0.5,0.5
A072_1,0.80151546,0.8313664,0.5,0.5
A072_2,0.9833094,1.7479229,0.5,0.5
A072_3,-0.94120866,0.16971667,0.5,0.5
A072_4,-0.12980092,0.61907864,0.5,0.5
A073_1,1.6641471,0.37159744,0.5,0.5
A073_2,0.5787494,-0.94479036,0.5,0.5
A073_3,1.1674864,-0.20109823,0.5,0.5
A073_4,1.0045222,1.019454,0.5,0.5
A074_1,1.5700668,0.2855425,0.5,0.5
A074_2,0.36285383,-0.27078333,0.5,0.5
A074_3,-0.40120536,0.9869097,0.5,0.5
A074_4,-0.7850784,0.3936116,0.5,0.5
A075_1,1.1662244,0.1267596,0.5,0.5
A075_2,0.3566179,0.6956564,0.5,0.5
A075_3,-1.3038448,-1.5537341,0.5,0.5
A075_4,-0.52204144,0.101899266,0.5,0.5
A076_1,0.29063508,-0.46034017,0.5,0.5
A076_2,-0.8461591,-1.541042,0.5,0.5
A076_3,-1.1877341,-0.40147457,0.5,0.5
A076_4,-0.86294127,-1.7129921,0.5,0.5
A077_1,0.15343806,-0.8903521,0.5,0.5
A077_2,-0.1691623,-0.7435349,0.5,0.5
A077_3,-0.06856383,-0.44265518,0.5,0.5
A077_4,-0.21926013,0.8175864,0.5,0.5
A078_1,-0.66697323,-0.29132113,0.5,0.5
A078_2,-0.16704877,-0.028759975,0.5,0.5
A078_3,-0.7749459,0.36668056,0.5,0.5
A078_4,-1.525055,-1.2527642,0.5,0.5
A079_1,-0.24314347,1.4878954,0.5,0.5
A079_2,0.14074588,-0.102161266,0.5,0.5
A079_3,-0.6750268,-0.047807094,0.5,0.5
A079_4,-0.41618824,-0.91840744,0.5,0.5
A080_1,0.13513204,-0.15134959,0.5,0.5
A080_2,0.34741575,0.23984733,0.5,0.5
A080_3,0.13813207,1.11617,0.5,0.5
A080_4,-0.5028607,-0.34453243,0.5,0.5
A081_1,0.29152164,0.748453,0.5,0.5
A081_2,-0.3328697,-1.1959158,0.5,0.5
A081_3,0.6178092,1.2225084,0.5,0.5
A081_4,-0.052564196,1.4305551,0.5,0.5
A082_1,0.115559615,-0.7649722,0.5,0.5
A082_2,0.8179186,1.4608421,0.5,0.5
A082_3,0.78679985,-0.5338544,0.5,0.5
A082_4,-0.55610883,0.32718766,0.5,0.5
A083_1,1.8847612,1.7335701,0.5,0.5
A083_2,0.47450107,-0.14987896,0.5,0.5
A083_3,-0.012420634,-0.71332973,0.5,0.5
A083_4,-0.00067001284,0.912994,0.5,0.5
A084_1,0.5596189,0.3445181,0.5,0.5
A084_2,0.039227832,-0.44761825,0.5,0.5
A084_3,-0.010087565,0.24537508,0.5,0.5
A084_4,-0.5624141,1.0562141,0.5,0.5
A085_1,-0.1252114,0.14861225,0.5,0.5
A085_2,1.5127361,0.4646464,0.5,0.5
A085_3,-0.033243746,-1.0166757,0.5,0.5
A085_4,-0.43204036,0.18445309,0.5,0.5
A086_1,0.91376305,1.117822,0.5,0.5
A086_2,0.1346468,0.14556721,0.5,0.5
A086_3,-1.1936218,-1.2425808,0.5,0.5
A086_4,-0.822028,-1.4326894,0.5,0.5
A087_1,-0.22287825,0.8694991,0.5,0.5
A087_2,0.7967639,0.8160125,0.5,0.5
A087_3,-0.019071504,0.40379485,0.5,0.5
A087_4,0.7529033,-0.6755454,0.5,0.5
A088_1,1.7774689,1.3580983,0.5,0.5
A088_2,1.7887604,2.077522,0.5,0.5
A088_3,1.260735,-0.042964213,0.5,0.5
A088_4,1.5812349,1.275701,0.5,0.5
