timepoint,source_mean,destination_mean,mean_difference,cohens_d,CI_lower,CI_upper
Day0,0.45191234806,0.37777898760999995,0.07413336045000007,0.08676103886672247,-0.19055519559750372,0.3640772733309487
Day1,0.1461425472826087,0.09990706180869564,0.046235485473913054,0.05722960440671589,-0.23181577958444105,0.3462749883978728
Day3,-0.1484011600674157,-0.11931994888202246,-0.029081211185393224,-0.03772916927052236,-0.3315717304942707,0.256113391953226
Day6,-0.47084626225954546,-0.33719038455681816,-0.1336558777027273,-0.15958415321113276,-0.45553521267717956,0.13636690625491407
