model_name,AIC,delta_AIC,weight
Logarithmic,1830.151822362538,0.0,0.8190409128311069
Quadratic,1834.477873758061,4.326051395522882,0.09417062905192863
Linear+Logarithmic,1835.0525050777014,4.900682715163384,0.07065385551172115
Quadratic+Logarithmic,1838.316844322997,8.165021960458944,0.013813177902568722
Linear,1841.8837282506247,11.731905888086658,0.0023214247026744008
