parameter,coefficient,std_error,z_value,p_value,ci_lower,ci_upper
Intercept,0.38228877017210056,0.07837195177838624,4.877877371908579,1.072335544704447e-06,0.22868256728835368,0.5358949730558474
LocationType[T.source],0.10773991322954934,0.08333572080994792,1.292841919196411,0.19606573880732203,-0.05559509818363367,0.27107492464273236
log_Days_plus1,-0.3546433803048577,0.05022700547200826,-7.060810752544308,1.6553391211355873e-12,-0.4530865020812901,-0.2562002585284253
log_Days_plus1:LocationType[T.source],-0.11909255019719914,0.0644988129988045,-1.8464301071619185,0.0648297790452848,-0.24550790072043985,0.007322800326041573
Group Var,0.5918649591298508,0.14956769978038467,3.9571709667187918,7.584265003074715e-05,0.2987176543097975,0.8850122639499041
Group x log_Days_plus1 Cov,-0.1287546719266597,0.07178164631291825,-1.7936990657107323,0.07286121452637054,-0.26944411345097186,0.01193476959765244
log_Days_plus1 Var,0.0967463012368293,0.050309782716130166,1.9230117089297387,0.05447857938422779,-0.0018590609568215205,0.1953516634304801
